         20874020 function calls (19984092 primitive calls) in 221.636 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    18797  201.100    0.011  201.100    0.011 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_Execute}
    15575    3.950    0.000    3.950    0.000 {method 'acquire' of '_thread.lock' objects}
    40466    2.439    0.000    2.440    0.000 {built-in method tensorflow.python._pywrap_tfe.TFE_Py_FastPathExecute}
        1    2.099    2.099    2.218    2.218 {built-in method matplotlib.backends._macosx.show}
        3    0.616    0.205    0.616    0.205 {built-in method time.sleep}
2230835/2229525    0.323    0.000    0.782    0.000 {built-in method builtins.isinstance}
   158867    0.310    0.000    0.330    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
    18802    0.255    0.000  201.697    0.011 monomorphic_function.py:344(call)
304330/304328    0.238    0.000    0.267    0.000 {built-in method builtins.hasattr}
449824/112718    0.213    0.000    0.673    0.000 type_spec.py:567(__make_cmp_key)
    56467    0.202    0.000    0.327    0.000 inspect.py:2909(_bind)
1387791/1387775    0.199    0.000    0.285    0.000 {built-in method _abc._abc_instancecheck}
        1    0.197    0.197  211.760  211.760 training.py:1338(fit)
    18788    0.153    0.000  208.277    0.011 polymorphic_function.py:866(__call__)
   126782    0.146    0.000    0.149    0.000 dtypes.py:234(__eq__)
    18821    0.134    0.000    0.732    0.000 function_type.py:368(canonicalize_to_monomorphic)
        1    0.133    0.133    0.181    0.181 backend_bases.py:2682(create_with_canvas)
1387791/1387775    0.128    0.000    0.413    0.000 abc.py:117(__instancecheck__)
12994/2510    0.124    0.000    0.126    0.000 {built-in method _abc._abc_subclasscheck}
   197784    0.120    0.000    0.120    0.000 context.py:976(executing_eagerly)
284284/52137    0.107    0.000    0.551    0.000 {built-in method builtins.hash}
    18802    0.106    0.000  202.368    0.011 monomorphic_function.py:1679(_call_flat)
      895    0.103    0.000    0.104    0.000 constant_op.py:75(convert_to_eager_tensor)
112944/75358    0.098    0.000    0.322    0.000 composite_tensor_utils.py:24(flatten_with_variables)
     5173    0.098    0.000    0.098    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
   321100    0.095    0.000    0.121    0.000 function_type.py:166(parameters)
        3    0.095    0.032    0.269    0.090 inspect_utils.py:96(_fix_linecache_record)
     1173    0.093    0.000    0.095    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.091    0.091    0.091    0.091 wandb_server_pb2.py:4(<module>)
    19698    0.091    0.000    0.091    0.000 {method '_numpy_internal' of 'tensorflow.python.framework.ops.EagerTensor' objects}
23899/22166    0.090    0.000    1.845    0.000 dispatch.py:1162(op_dispatch_handler)
      293    0.089    0.000    0.090    0.000 {built-in method posix.open}
