ticker,date,open,high,low,close
ANET,2014-06-06,13.81,15.0,13.75,13.75
ANET,2014-06-09,14.06,14.25,13.75,13.8
ANET,2014-06-10,13.81,15.0,13.81,15.0
ANET,2014-06-11,15.0,15.88,14.66,15.88
ANET,2014-06-12,15.91,16.96,15.77,16.5
ANET,2014-06-13,17.12,18.0,16.75,17.4
ANET,2014-06-16,17.81,17.88,16.91,17.88
ANET,2014-06-17,17.97,18.16,17.25,17.43
ANET,2014-06-18,17.52,17.75,16.97,17.24
ANET,2014-06-19,17.01,17.2,16.13,16.42
ANET,2014-06-20,16.26,17.12,16.12,16.29
ANET,2014-06-23,16.25,16.87,16.25,16.43
ANET,2014-06-24,16.59,16.69,15.97,16.07
ANET,2014-06-25,15.95,16.34,15.5,16.12
ANET,2014-06-26,16.2,16.2,15.62,15.95
ANET,2014-06-27,15.98,15.98,15.56,15.64
ANET,2014-06-30,15.52,16.3,15.52,15.6
ANET,2014-07-01,16.74,19.21,16.52,19.0
ANET,2014-07-02,19.68,20.13,18.3,18.84
ANET,2014-07-03,19.11,19.41,18.52,19.1
ANET,2014-07-07,18.79,19.32,18.01,18.04
ANET,2014-07-08,17.98,18.01,15.78,17.36
ANET,2014-07-09,17.33,18.23,16.5,17.98
ANET,2014-07-10,16.88,17.53,16.78,16.93
ANET,2014-07-11,17.2,17.62,17.09,17.41
ANET,2014-07-14,17.85,18.0,17.13,17.24
ANET,2014-07-15,17.36,17.64,16.5,16.67
ANET,2014-07-16,16.77,17.0,15.9,16.13
ANET,2014-07-17,15.97,16.41,15.78,15.94
ANET,2014-07-18,16.01,16.23,15.84,16.0
ANET,2014-07-21,16.03,16.18,15.75,15.81
ANET,2014-07-22,15.94,16.74,15.86,16.38
ANET,2014-07-23,16.47,16.67,16.1,16.2
ANET,2014-07-24,16.28,16.54,15.94,16.06
ANET,2014-07-25,16.04,16.19,15.63,15.91
ANET,2014-07-28,16.13,16.14,15.76,15.85
ANET,2014-07-29,15.9,16.01,15.79,15.96
ANET,2014-07-30,16.12,16.98,15.99,16.95
ANET,2014-07-31,16.58,16.75,16.28,16.53
ANET,2014-08-01,16.45,16.88,16.31,16.4
ANET,2014-08-04,16.5,17.38,16.42,17.31
ANET,2014-08-05,17.21,18.25,17.0,18.02
ANET,2014-08-06,17.84,18.12,17.38,17.7
ANET,2014-08-07,17.94,18.17,17.8,18.06
ANET,2014-08-08,19.81,19.97,17.88,18.01
ANET,2014-08-11,18.17,18.35,16.83,17.47
ANET,2014-08-12,17.37,17.92,17.37,17.78
ANET,2014-08-13,17.78,17.99,17.33,17.46
ANET,2014-08-14,17.43,17.92,17.2,17.7
ANET,2014-08-15,17.85,17.85,17.34,17.45
ANET,2014-08-18,17.71,17.84,17.31,17.63
ANET,2014-08-19,17.68,18.8,17.54,18.75
ANET,2014-08-20,18.58,19.32,18.23,19.1
ANET,2014-08-21,18.97,19.6,18.83,19.34
ANET,2014-08-22,19.12,19.24,18.81,18.91
ANET,2014-08-25,19.01,19.36,18.7,18.9
ANET,2014-08-26,18.86,19.19,18.67,19.04
ANET,2014-08-27,19.0,20.87,18.99,20.79
ANET,2014-08-28,20.74,20.97,20.39,20.86
ANET,2014-08-29,21.22,21.45,20.68,20.96
ANET,2014-09-02,21.28,21.67,21.06,21.52
ANET,2014-09-03,21.79,21.89,21.23,21.4
ANET,2014-09-04,21.35,22.33,21.3,21.87
ANET,2014-09-05,21.85,22.83,21.53,22.78
ANET,2014-09-08,22.79,23.49,21.42,21.92
ANET,2014-09-09,22.0,22.22,20.94,21.07
ANET,2014-09-10,21.25,22.21,20.78,22.19
ANET,2014-09-11,22.02,22.72,21.91,22.19
ANET,2014-09-12,22.22,22.35,21.25,21.57
ANET,2014-09-15,21.83,22.06,20.64,20.71
ANET,2014-09-16,20.57,21.33,20.2,21.0
ANET,2014-09-17,21.2,21.49,20.81,20.88
ANET,2014-09-18,21.12,21.61,21.01,21.53
ANET,2014-09-19,21.74,21.91,21.23,21.91
ANET,2014-09-22,21.72,22.16,20.89,20.96
ANET,2014-09-23,20.86,21.58,20.76,21.12
ANET,2014-09-24,20.8,21.98,20.8,21.78
ANET,2014-09-25,21.68,22.11,20.95,21.08
ANET,2014-09-26,21.09,21.48,21.08,21.28
ANET,2014-09-29,21.11,23.44,21.0,23.33
ANET,2014-09-30,23.39,23.71,21.65,22.08
ANET,2014-10-01,22.01,22.13,20.78,21.01
ANET,2014-10-02,21.11,21.26,19.91,21.06
ANET,2014-10-03,21.44,21.78,20.87,21.43
ANET,2014-10-06,21.5,21.65,20.7,21.17
ANET,2014-10-07,20.78,21.12,20.55,20.7
ANET,2014-10-08,21.08,22.23,20.76,22.11
ANET,2014-10-09,22.11,22.56,21.16,21.45
ANET,2014-10-10,21.16,21.68,19.44,19.53
ANET,2014-10-13,19.65,19.91,18.33,18.42
ANET,2014-10-14,18.5,18.84,17.58,18.38
ANET,2014-10-15,18.25,18.93,17.75,18.76
ANET,2014-10-16,18.62,19.06,18.35,18.64
ANET,2014-10-17,18.98,19.37,18.97,19.18
ANET,2014-10-20,19.35,19.81,18.85,19.1
ANET,2014-10-21,19.58,19.59,19.2,19.38
ANET,2014-10-22,19.5,19.54,17.92,18.05
ANET,2014-10-23,18.32,18.85,18.07,18.46
ANET,2014-10-24,18.45,18.75,18.19,18.73
ANET,2014-10-27,18.67,18.67,18.27,18.34
ANET,2014-10-28,18.39,18.58,18.14,18.46
ANET,2014-10-29,18.46,18.9,18.06,18.26
ANET,2014-10-30,18.33,18.75,18.27,18.47
ANET,2014-10-31,18.71,20.73,18.65,20.31
ANET,2014-11-03,21.19,21.5,20.34,21.42
ANET,2014-11-04,21.42,21.8,20.64,21.6
ANET,2014-11-05,22.32,22.47,20.69,21.03
ANET,2014-11-06,21.35,21.83,20.8,21.81
ANET,2014-11-07,19.71,20.26,19.12,19.46
ANET,2014-11-10,19.51,20.08,19.15,19.2
ANET,2014-11-11,18.64,19.84,18.5,19.68
