ticker,date,open,high,low,close
BAC,1973-02-21,4.62,4.62,4.62,4.62
BAC,1973-02-22,4.64,4.64,4.64,4.64
BAC,1973-02-23,4.62,4.62,4.62,4.62
BAC,1973-02-26,4.62,4.62,4.62,4.62
BAC,1973-02-27,4.62,4.62,4.62,4.62
BAC,1973-02-28,4.62,4.62,4.62,4.62
BAC,1973-03-01,4.66,4.66,4.66,4.66
BAC,1973-03-02,4.67,4.67,4.67,4.67
BAC,1973-03-05,4.73,4.73,4.73,4.73
BAC,1973-03-06,4.88,4.88,4.88,4.88
BAC,1973-03-07,4.88,4.88,4.88,4.88
BAC,1973-03-08,4.91,4.91,4.91,4.91
BAC,1973-03-09,4.91,4.91,4.91,4.91
BAC,1973-03-12,4.89,4.89,4.89,4.89
BAC,1973-03-13,4.91,4.91,4.91,4.91
BAC,1973-03-14,4.92,4.92,4.92,4.92
BAC,1973-03-15,4.91,4.91,4.91,4.91
BAC,1973-03-16,4.89,4.89,4.89,4.89
BAC,1973-03-19,4.84,4.84,4.84,4.84
BAC,1973-03-20,4.75,4.75,4.75,4.75
BAC,1973-03-21,4.69,4.69,4.69,4.69
BAC,1973-03-22,4.61,4.61,4.61,4.61
BAC,1973-03-23,4.61,4.61,4.61,4.61
BAC,1973-03-26,4.59,4.59,4.59,4.59
BAC,1973-03-27,4.59,4.59,4.59,4.59
BAC,1973-03-28,4.66,4.66,4.66,4.66
BAC,1973-03-29,4.72,4.72,4.72,4.72
BAC,1973-03-30,4.72,4.72,4.72,4.72
BAC,1973-04-02,4.69,4.69,4.69,4.69
BAC,1973-04-03,4.66,4.66,4.66,4.66
BAC,1973-04-04,4.62,4.62,4.62,4.62
BAC,1973-04-05,4.61,4.61,4.61,4.61
BAC,1973-04-06,4.61,4.61,4.61,4.61
BAC,1973-04-09,4.61,4.61,4.61,4.61
BAC,1973-04-10,4.72,4.72,4.72,4.72
BAC,1973-04-11,4.75,4.75,4.75,4.75
BAC,1973-04-12,4.81,4.81,4.81,4.81
BAC,1973-04-13,4.81,4.81,4.81,4.81
BAC,1973-04-16,4.81,4.81,4.81,4.81
BAC,1973-04-17,4.69,4.69,4.69,4.69
BAC,1973-04-18,4.67,4.67,4.67,4.67
BAC,1973-04-19,4.69,4.69,4.69,4.69
BAC,1973-04-23,4.62,4.62,4.62,4.62
BAC,1973-04-24,4.59,4.59,4.59,4.59
BAC,1973-04-25,4.56,4.56,4.56,4.56
BAC,1973-04-26,4.56,4.56,4.56,4.56
BAC,1973-04-27,4.53,4.53,4.53,4.53
BAC,1973-04-30,4.47,4.47,4.47,4.47
BAC,1973-05-01,4.44,4.44,4.44,4.44
BAC,1973-05-02,4.45,4.45,4.45,4.45
BAC,1973-05-03,0.0,4.5,4.44,4.44
BAC,1973-05-04,0.0,4.55,4.48,4.48
BAC,1973-05-07,0.0,4.56,4.5,4.5
BAC,1973-05-08,0.0,4.58,4.52,4.52
BAC,1973-05-09,0.0,4.7,4.64,4.64
BAC,1973-05-10,0.0,4.81,4.75,4.75
BAC,1973-05-11,0.0,4.83,4.77,4.77
BAC,1973-05-14,0.0,4.66,4.59,4.59
BAC,1973-05-15,0.0,4.64,4.58,4.58
BAC,1973-05-16,0.0,4.73,4.67,4.67
BAC,1973-05-17,0.0,4.73,4.67,4.67
BAC,1973-05-18,0.0,4.69,4.62,4.62
BAC,1973-05-21,0.0,4.67,4.61,4.61
BAC,1973-05-22,0.0,4.72,4.66,4.66
BAC,1973-05-23,0.0,4.73,4.67,4.67
BAC,1973-05-24,0.0,4.84,4.78,4.78
BAC,1973-05-25,0.0,4.91,4.84,4.84
BAC,1973-05-29,0.0,4.94,4.88,4.88
BAC,1973-05-30,0.0,4.86,4.8,4.8
BAC,1973-05-31,0.0,4.86,4.8,4.8
BAC,1973-06-01,0.0,4.86,4.8,4.8
BAC,1973-06-04,0.0,4.64,4.58,4.58
BAC,1973-06-05,0.0,4.56,4.5,4.5
BAC,1973-06-06,0.0,4.5,4.44,4.44
BAC,1973-06-07,0.0,4.53,4.47,4.47
BAC,1973-06-08,0.0,4.55,4.48,4.48
BAC,1973-06-11,0.0,4.56,4.5,4.5
BAC,1973-06-12,0.0,4.61,4.55,4.55
BAC,1973-06-13,0.0,4.62,4.56,4.56
BAC,1973-06-14,0.0,4.66,4.59,4.59
BAC,1973-06-15,0.0,4.61,4.55,4.55
BAC,1973-06-18,0.0,4.53,4.47,4.47
BAC,1973-06-19,0.0,4.48,4.42,4.42
BAC,1973-06-20,0.0,4.45,4.39,4.39
BAC,1973-06-21,0.0,4.44,4.38,4.38
BAC,1973-06-22,0.0,4.44,4.38,4.38
BAC,1973-06-25,0.0,4.36,4.3,4.3
BAC,1973-06-26,0.0,4.39,4.33,4.33
BAC,1973-06-27,0.0,4.38,4.31,4.31
BAC,1973-06-28,0.0,4.33,4.27,4.27
BAC,1973-06-29,0.0,4.34,4.28,4.28
BAC,1973-07-02,0.0,4.38,4.31,4.31
BAC,1973-07-03,0.0,4.36,4.3,4.3
BAC,1973-07-05,0.0,4.34,4.28,4.28
BAC,1973-07-06,0.0,4.34,4.28,4.28
BAC,1973-07-09,0.0,4.38,4.31,4.31
BAC,1973-07-10,0.0,4.41,4.34,4.34
BAC,1973-07-11,0.0,4.42,4.36,4.36
BAC,1973-07-12,0.0,4.41,4.34,4.34
BAC,1973-07-13,0.0,4.44,4.38,4.38
BAC,1973-07-16,0.0,4.47,4.41,4.41
BAC,1973-07-17,0.0,4.5,4.44,4.44
BAC,1973-07-18,0.0,4.62,4.56,4.56
BAC,1973-07-19,0.0,4.92,4.86,4.86
BAC,1973-07-20,0.0,5.05,4.98,4.98
BAC,1973-07-23,0.0,5.0,4.94,4.94
BAC,1973-07-24,0.0,4.97,4.91,4.91
BAC,1973-07-25,0.0,4.97,4.91,4.91
BAC,1973-07-26,0.0,4.97,4.91,4.91
BAC,1973-07-27,0.0,4.94,4.88,4.88
BAC,1973-07-30,0.0,4.91,4.84,4.84
BAC,1973-07-31,0.0,4.91,4.84,4.84
BAC,1973-08-01,0.0,4.84,4.78,4.78
BAC,1973-08-02,0.0,4.77,4.7,4.7
BAC,1973-08-03,0.0,4.77,4.7,4.7
BAC,1973-08-06,0.0,4.75,4.69,4.69
BAC,1973-08-07,0.0,4.75,4.69,4.69
BAC,1973-08-08,0.0,4.7,4.64,4.64
BAC,1973-08-09,0.0,4.75,4.69,4.69
BAC,1973-08-10,0.0,4.77,4.7,4.7
BAC,1973-08-13,0.0,4.75,4.69,4.69
BAC,1973-08-14,0.0,4.75,4.69,4.69
BAC,1973-08-15,0.0,4.73,4.67,4.67
BAC,1973-08-16,0.0,4.73,4.67,4.67
BAC,1973-08-17,0.0,4.78,4.72,4.72
BAC,1973-08-20,0.0,4.78,4.72,4.72
BAC,1973-08-21,0.0,4.78,4.72,4.72
BAC,1973-08-22,0.0,4.72,4.66,4.66
BAC,1973-08-23,0.0,4.72,4.66,4.66
BAC,1973-08-24,0.0,4.73,4.67,4.67
BAC,1973-08-27,0.0,4.75,4.69,4.69
BAC,1973-08-28,0.0,4.81,4.75,4.75
BAC,1973-08-29,0.0,4.88,4.81,4.81
BAC,1973-08-30,0.0,4.81,4.75,4.75
BAC,1973-08-31,0.0,4.84,4.78,4.78
BAC,1973-09-04,0.0,4.86,4.8,4.8
BAC,1973-09-05,0.0,4.83,4.77,4.77
BAC,1973-09-06,0.0,4.84,4.78,4.78
BAC,1973-09-07,0.0,4.91,4.84,4.84
BAC,1973-09-10,0.0,4.94,4.88,4.88
BAC,1973-09-11,0.0,4.88,4.81,4.81
BAC,1973-09-12,0.0,4.86,4.8,4.8
BAC,1973-09-13,0.0,4.88,4.81,4.81
BAC,1973-09-14,0.0,4.88,4.81,4.81
BAC,1973-09-17,0.0,4.91,4.84,4.84
BAC,1973-09-18,0.0,4.94,4.88,4.88
BAC,1973-09-19,0.0,5.0,4.94,4.94
BAC,1973-09-20,0.0,4.98,4.92,4.92
BAC,1973-09-21,0.0,4.97,4.91,4.91
BAC,1973-09-24,0.0,5.03,4.97,4.97
BAC,1973-09-25,0.0,5.0,4.94,4.94
BAC,1973-09-26,0.0,5.0,4.94,4.94
BAC,1973-09-27,0.0,4.97,4.91,4.91
BAC,1973-09-28,0.0,4.97,4.91,4.91
BAC,1973-10-01,0.0,4.97,4.91,4.91
BAC,1973-10-02,0.0,4.98,4.92,4.92
BAC,1973-10-03,0.0,4.98,4.92,4.92
BAC,1973-10-04,0.0,4.98,4.92,4.92
BAC,1973-10-05,0.0,4.97,4.91,4.91
BAC,1973-10-08,0.0,4.97,4.91,4.91
BAC,1973-10-09,0.0,4.97,4.91,4.91
BAC,1973-10-10,0.0,5.05,4.98,4.98
BAC,1973-10-11,0.0,5.17,5.11,5.11
BAC,1973-10-12,0.0,5.25,5.19,5.19
BAC,1973-10-15,0.0,5.22,5.16,5.16
BAC,1973-10-16,0.0,5.22,5.16,5.16
BAC,1973-10-17,0.0,5.23,5.17,5.17
BAC,1973-10-18,0.0,5.23,5.17,5.17
BAC,1973-10-19,0.0,5.31,5.25,5.25
BAC,1973-10-22,0.0,5.25,5.19,5.19
BAC,1973-10-23,0.0,5.19,5.12,5.12
BAC,1973-10-24,0.0,5.16,5.09,5.09
BAC,1973-10-25,0.0,5.17,5.11,5.11
BAC,1973-10-26,0.0,5.19,5.12,5.12
BAC,1973-10-29,0.0,5.19,5.12,5.12
BAC,1973-10-30,0.0,5.05,4.98,4.98
BAC,1973-10-31,0.0,4.97,4.91,4.91
BAC,1973-11-01,0.0,4.94,4.88,4.88
BAC,1973-11-02,0.0,4.92,4.86,4.86
BAC,1973-11-05,0.0,4.92,4.86,4.86
BAC,1973-11-06,0.0,4.94,4.88,4.88
BAC,1973-11-07,0.0,5.06,5.0,5.0
BAC,1973-11-08,0.0,5.12,5.06,5.06
BAC,1973-11-09,0.0,5.12,5.06,5.06
BAC,1973-11-12,0.0,5.11,5.05,5.05
BAC,1973-11-13,0.0,5.11,5.05,5.05
BAC,1973-11-14,0.0,5.03,4.97,4.97
BAC,1973-11-15,0.0,5.05,4.98,4.98
BAC,1973-11-16,0.0,5.08,5.02,5.02
