ticker,date,open,high,low,close
BLK,1999-10-01,14.0,14.25,14.0,14.12
BLK,1999-10-04,14.12,14.12,14.0,14.0
BLK,1999-10-05,14.0,14.12,14.0,14.12
BLK,1999-10-06,14.12,14.88,14.12,14.88
BLK,1999-10-07,14.88,14.88,14.06,14.12
BLK,1999-10-08,14.19,14.19,14.06,14.06
BLK,1999-10-11,14.06,14.12,14.0,14.06
BLK,1999-10-12,14.06,14.12,14.0,14.12
BLK,1999-10-13,14.12,14.38,14.0,14.06
BLK,1999-10-14,14.0,14.06,13.25,13.62
BLK,1999-10-15,13.12,13.19,12.69,13.06
BLK,1999-10-18,13.0,13.0,12.5,12.81
BLK,1999-10-19,12.75,13.25,12.75,13.25
BLK,1999-10-20,13.38,13.5,13.12,13.12
BLK,1999-10-21,13.12,13.44,13.0,13.44
BLK,1999-10-22,13.38,13.56,13.31,13.5
BLK,1999-10-25,13.44,13.94,13.44,13.94
BLK,1999-10-26,13.81,14.12,13.81,14.0
BLK,1999-10-27,14.0,14.19,14.0,14.06
BLK,1999-10-28,14.19,14.5,14.12,14.12
BLK,1999-10-29,14.12,15.25,14.12,15.25
BLK,1999-11-01,15.0,15.0,14.62,14.75
BLK,1999-11-02,14.75,14.88,14.31,14.75
BLK,1999-11-03,14.69,14.88,14.69,14.75
BLK,1999-11-04,14.88,15.12,14.5,14.94
BLK,1999-11-05,15.0,15.88,14.88,15.75
BLK,1999-11-08,15.88,17.38,15.81,16.62
BLK,1999-11-09,16.75,16.75,16.12,16.12
BLK,1999-11-10,16.0,16.12,15.81,16.06
BLK,1999-11-11,16.06,16.25,16.06,16.12
BLK,1999-11-12,16.25,18.5,16.25,18.0
BLK,1999-11-15,18.19,18.19,17.5,17.69
BLK,1999-11-16,17.69,17.69,17.38,17.44
BLK,1999-11-17,17.69,18.25,17.25,17.5
BLK,1999-11-18,17.5,17.5,17.25,17.25
BLK,1999-11-19,17.25,17.75,17.19,17.62
BLK,1999-11-22,17.56,17.88,17.56,17.81
BLK,1999-11-23,17.81,19.38,17.81,19.12
BLK,1999-11-24,19.0,19.0,18.38,18.56
BLK,1999-11-26,18.5,18.5,18.38,18.44
BLK,1999-11-29,18.38,18.38,17.88,18.12
BLK,1999-11-30,18.19,18.5,18.19,18.38
BLK,1999-12-01,18.38,18.62,18.25,18.56
BLK,1999-12-02,18.56,19.0,18.56,19.0
BLK,1999-12-03,19.12,19.38,19.06,19.19
BLK,1999-12-06,19.19,19.19,18.25,18.38
BLK,1999-12-07,18.5,19.0,18.44,18.62
BLK,1999-12-08,18.5,18.5,18.0,18.19
BLK,1999-12-09,18.25,18.38,18.12,18.25
BLK,1999-12-10,18.12,18.12,17.62,17.62
BLK,1999-12-13,17.75,18.0,17.44,17.44
BLK,1999-12-14,17.25,17.25,17.06,17.12
BLK,1999-12-15,17.12,17.12,16.88,17.12
BLK,1999-12-16,17.06,17.25,16.81,16.81
BLK,1999-12-17,16.69,17.25,16.69,17.12
BLK,1999-12-20,17.0,17.0,16.81,16.94
BLK,1999-12-21,16.94,17.06,16.88,17.0
BLK,1999-12-22,17.12,17.38,17.12,17.19
BLK,1999-12-23,17.19,17.25,17.0,17.12
BLK,1999-12-27,17.06,17.12,17.06,17.12
BLK,1999-12-28,17.06,17.62,17.06,17.38
BLK,1999-12-29,17.44,17.44,17.12,17.25
BLK,1999-12-30,17.12,17.38,17.12,17.31
BLK,1999-12-31,17.25,17.38,17.19,17.19
BLK,2000-01-03,17.44,17.5,16.62,16.62
BLK,2000-01-04,16.62,16.62,15.62,15.88
BLK,2000-01-05,15.75,15.75,15.0,15.75
BLK,2000-01-06,15.75,16.25,15.75,16.0
BLK,2000-01-07,15.88,16.25,15.75,15.88
BLK,2000-01-10,16.5,16.5,16.0,16.0
BLK,2000-01-11,16.12,16.88,16.0,16.44
BLK,2000-01-12,16.5,17.12,16.5,17.12
BLK,2000-01-13,17.25,17.5,16.88,16.94
BLK,2000-01-14,17.0,17.75,16.88,17.5
BLK,2000-01-18,17.75,18.25,17.75,18.0
BLK,2000-01-19,18.0,18.38,17.94,18.25
BLK,2000-01-20,18.25,18.25,17.38,17.5
BLK,2000-01-21,17.44,17.5,17.25,17.38
BLK,2000-01-24,17.5,17.5,17.0,17.12
BLK,2000-01-25,17.12,17.5,17.06,17.25
BLK,2000-01-26,17.25,17.5,17.25,17.44
BLK,2000-01-27,17.44,18.0,17.44,17.5
BLK,2000-01-28,17.62,17.62,17.31,17.38
BLK,2000-01-31,17.12,17.5,17.12,17.5
BLK,2000-02-01,17.38,17.75,17.38,17.75
BLK,2000-02-02,18.0,18.12,17.88,17.94
BLK,2000-02-03,18.06,18.12,17.94,18.0
BLK,2000-02-04,18.12,18.56,18.12,18.44
BLK,2000-02-07,18.44,18.56,18.38,18.5
BLK,2000-02-08,18.5,18.88,18.5,18.56
BLK,2000-02-09,18.75,18.75,18.38,18.38
BLK,2000-02-10,18.5,18.5,17.88,17.88
BLK,2000-02-11,17.88,18.0,17.88,17.94
BLK,2000-02-14,18.06,18.06,17.88,18.0
BLK,2000-02-15,17.88,18.0,17.88,17.88
BLK,2000-02-16,17.88,18.5,17.88,18.5
BLK,2000-02-17,18.5,18.69,18.31,18.38
BLK,2000-02-18,18.38,18.56,18.38,18.5
BLK,2000-02-22,18.62,18.81,18.56,18.56
BLK,2000-02-23,18.56,18.94,18.56,18.81
BLK,2000-02-24,18.88,19.12,18.88,19.0
BLK,2000-02-25,19.0,19.25,19.0,19.25
BLK,2000-02-28,19.25,20.12,19.25,20.12
BLK,2000-02-29,21.75,21.88,21.62,21.88
BLK,2000-03-01,22.5,22.75,21.75,21.75
BLK,2000-03-02,22.0,22.25,22.0,22.06
BLK,2000-03-03,22.12,22.12,22.06,22.12
BLK,2000-03-06,22.06,22.25,22.06,22.06
BLK,2000-03-07,22.12,22.12,21.75,22.0
BLK,2000-03-08,22.0,22.19,22.0,22.0
BLK,2000-03-09,21.88,22.0,21.75,22.0
BLK,2000-03-10,22.0,22.12,21.94,22.12
