ticker,date,open,high,low,close
BSX,1992-05-19,4.25,4.34,4.22,4.28
BSX,1992-05-20,4.34,4.38,4.31,4.38
BSX,1992-05-21,4.38,4.38,4.31,4.38
BSX,1992-05-22,4.41,4.59,4.38,4.53
BSX,1992-05-26,4.5,4.53,4.38,4.38
BSX,1992-05-27,4.41,4.47,4.41,4.44
BSX,1992-05-28,4.47,4.5,4.44,4.47
BSX,1992-05-29,4.5,4.59,4.47,4.56
BSX,1992-06-01,4.56,4.66,4.56,4.62
BSX,1992-06-02,4.69,4.69,4.56,4.66
BSX,1992-06-03,4.62,4.62,4.47,4.5
BSX,1992-06-04,4.5,4.5,4.38,4.38
BSX,1992-06-05,4.34,4.34,4.25,4.31
BSX,1992-06-08,4.34,4.34,4.31,4.31
BSX,1992-06-09,4.31,4.34,4.12,4.12
BSX,1992-06-10,4.12,4.16,4.12,4.12
BSX,1992-06-11,4.16,4.16,4.03,4.09
BSX,1992-06-12,4.16,4.22,4.16,4.19
BSX,1992-06-15,4.16,4.16,4.12,4.16
BSX,1992-06-16,4.16,4.16,4.09,4.12
BSX,1992-06-17,4.09,4.09,3.88,3.94
BSX,1992-06-18,3.94,3.94,3.91,3.94
BSX,1992-06-19,3.91,3.94,3.88,3.94
BSX,1992-06-22,3.88,3.88,3.5,3.59
BSX,1992-06-23,3.66,4.0,3.66,3.97
BSX,1992-06-24,4.0,4.0,3.84,3.94
BSX,1992-06-25,3.97,3.97,3.81,3.88
BSX,1992-06-26,3.84,3.88,3.81,3.88
BSX,1992-06-29,3.88,4.25,3.88,4.22
BSX,1992-06-30,4.25,4.28,4.19,4.28
BSX,1992-07-01,4.25,4.25,4.22,4.22
BSX,1992-07-02,4.25,4.47,4.25,4.44
BSX,1992-07-06,4.44,4.59,4.41,4.59
BSX,1992-07-07,4.62,4.72,4.59,4.59
BSX,1992-07-08,4.62,4.62,4.41,4.47
BSX,1992-07-09,4.47,4.56,4.22,4.53
BSX,1992-07-10,4.53,4.53,4.44,4.47
BSX,1992-07-13,4.47,4.59,4.47,4.53
BSX,1992-07-14,4.56,4.66,4.53,4.66
BSX,1992-07-15,4.66,4.66,4.56,4.56
BSX,1992-07-16,4.56,4.75,4.56,4.75
BSX,1992-07-17,4.78,4.78,4.62,4.66
BSX,1992-07-20,4.59,4.66,4.44,4.5
BSX,1992-07-21,4.53,4.91,4.53,4.75
BSX,1992-07-22,4.75,4.91,4.72,4.84
BSX,1992-07-23,4.81,4.91,4.78,4.81
BSX,1992-07-24,4.75,4.78,4.69,4.72
BSX,1992-07-27,4.72,4.72,4.62,4.62
BSX,1992-07-28,4.69,4.88,4.69,4.84
BSX,1992-07-29,4.88,5.09,4.88,5.0
BSX,1992-07-30,4.97,5.0,4.91,5.0
BSX,1992-07-31,4.94,5.0,4.94,5.0
BSX,1992-08-03,5.0,5.0,4.97,4.97
BSX,1992-08-04,5.0,5.0,4.94,4.97
BSX,1992-08-05,4.94,4.97,4.91,4.94
BSX,1992-08-06,4.94,5.0,4.91,5.0
BSX,1992-08-07,4.97,5.06,4.91,4.91
BSX,1992-08-10,4.94,5.03,4.81,4.84
BSX,1992-08-11,4.81,4.81,4.56,4.62
BSX,1992-08-12,4.59,4.59,4.5,4.56
BSX,1992-08-13,4.59,4.59,4.5,4.5
BSX,1992-08-14,4.5,4.5,4.31,4.34
BSX,1992-08-17,4.34,4.44,4.31,4.44
BSX,1992-08-18,4.41,4.44,4.41,4.41
BSX,1992-08-19,4.44,4.56,4.44,4.53
BSX,1992-08-20,4.59,4.59,4.5,4.56
BSX,1992-08-21,4.59,4.66,4.56,4.56
BSX,1992-08-24,4.59,4.59,4.47,4.5
BSX,1992-08-25,4.56,4.62,4.5,4.62
BSX,1992-08-26,4.62,4.81,4.62,4.75
BSX,1992-08-27,4.75,4.84,4.75,4.81
BSX,1992-08-28,4.75,4.84,4.75,4.84
BSX,1992-08-31,4.84,4.84,4.78,4.84
BSX,1992-09-01,4.72,4.78,4.66,4.78
BSX,1992-09-02,4.78,4.78,4.66,4.78
BSX,1992-09-03,4.78,4.78,4.5,4.5
BSX,1992-09-04,4.53,4.59,4.5,4.59
BSX,1992-09-08,4.59,4.66,4.59,4.62
BSX,1992-09-09,4.62,4.78,4.62,4.78
BSX,1992-09-10,4.88,4.91,4.81,4.91
BSX,1992-09-11,4.91,4.97,4.91,4.97
BSX,1992-09-14,4.97,5.0,4.91,4.94
BSX,1992-09-15,4.97,5.0,4.91,4.97
BSX,1992-09-16,4.97,4.97,4.94,4.94
BSX,1992-09-17,4.97,5.12,4.94,5.09
BSX,1992-09-18,5.09,5.09,4.88,4.91
BSX,1992-09-21,4.88,4.91,4.88,4.91
BSX,1992-09-22,4.88,4.91,4.78,4.78
BSX,1992-09-23,4.81,4.81,4.69,4.72
BSX,1992-09-24,4.69,4.78,4.69,4.72
BSX,1992-09-25,4.72,4.75,4.59,4.59
BSX,1992-09-28,4.59,4.59,4.44,4.44
