ticker,date,open,high,low,close
CB,1993-03-25,9.67,9.71,9.46,9.54
CB,1993-03-26,9.54,9.71,9.5,9.58
CB,1993-03-29,9.5,9.58,9.42,9.46
CB,1993-03-30,9.42,9.46,9.33,9.46
CB,1993-03-31,9.42,9.71,9.42,9.67
CB,1993-04-01,9.62,9.67,9.54,9.54
CB,1993-04-02,9.54,9.54,9.5,9.5
CB,1993-04-05,9.46,9.46,9.38,9.38
CB,1993-04-06,9.42,9.5,9.42,9.5
CB,1993-04-07,9.5,9.88,9.5,9.71
CB,1993-04-08,9.67,9.75,9.62,9.62
CB,1993-04-12,9.62,9.67,9.5,9.54
CB,1993-04-13,9.5,9.58,9.5,9.58
CB,1993-04-14,9.58,9.62,9.54,9.54
CB,1993-04-15,9.58,9.71,9.54,9.67
CB,1993-04-16,9.67,9.75,9.67,9.71
CB,1993-04-19,9.62,9.71,9.58,9.67
CB,1993-04-20,9.67,9.67,9.42,9.42
CB,1993-04-21,9.42,9.46,9.42,9.46
CB,1993-04-22,9.42,9.46,9.38,9.42
CB,1993-04-23,9.46,9.46,9.33,9.46
CB,1993-04-26,9.42,9.42,9.17,9.17
CB,1993-04-27,9.17,9.21,9.17,9.21
CB,1993-04-28,9.21,9.21,9.17,9.17
CB,1993-04-29,9.21,9.25,9.17,9.17
CB,1993-04-30,9.21,9.54,9.21,9.54
CB,1993-05-03,9.5,9.67,9.5,9.67
CB,1993-05-04,9.92,10.0,9.88,9.92
CB,1993-05-05,10.25,10.58,10.21,10.58
CB,1993-05-06,10.67,10.67,10.33,10.38
CB,1993-05-07,10.29,10.42,10.29,10.33
CB,1993-05-10,10.33,10.38,10.17,10.33
CB,1993-05-11,10.29,10.38,10.29,10.38
CB,1993-05-12,10.33,10.38,10.29,10.38
CB,1993-05-13,10.33,10.33,10.04,10.04
CB,1993-05-14,10.0,10.08,10.0,10.04
CB,1993-05-17,10.04,10.04,9.88,9.96
CB,1993-05-18,9.96,9.96,9.92,9.96
CB,1993-05-19,9.88,10.21,9.88,10.17
CB,1993-05-20,10.21,10.21,10.0,10.08
CB,1993-05-21,10.12,10.12,10.04,10.04
