ticker,date,open,high,low,close
CI,1982-03-31,5.68,5.81,5.56,5.81
CI,1982-04-01,5.68,5.81,5.56,5.81
CI,1982-04-02,5.94,6.06,5.83,6.0
CI,1982-04-05,6.06,6.11,6.0,6.06
CI,1982-04-06,5.99,6.03,5.94,6.03
CI,1982-04-07,6.06,6.1,6.01,6.06
CI,1982-04-08,6.08,6.15,6.01,6.11
CI,1982-04-12,6.08,6.14,6.01,6.03
CI,1982-04-13,6.06,6.1,6.01,6.08
CI,1982-04-14,6.04,6.07,6.01,6.06
CI,1982-04-15,6.01,6.06,5.97,6.04
CI,1982-04-16,6.06,6.08,6.01,6.04
CI,1982-04-19,6.08,6.11,6.04,6.06
CI,1982-04-20,6.04,6.07,6.01,6.04
CI,1982-04-21,6.0,6.03,5.97,5.97
CI,1982-04-22,6.0,6.03,5.96,5.99
CI,1982-04-23,5.68,5.69,5.65,5.69
CI,1982-04-26,5.6,5.69,5.5,5.57
CI,1982-04-27,5.51,5.57,5.46,5.47
CI,1982-04-28,5.49,5.53,5.44,5.44
CI,1982-04-29,5.47,5.51,5.42,5.42
CI,1982-04-30,5.36,5.39,5.33,5.35
CI,1982-05-03,5.31,5.35,5.26,5.29
CI,1982-05-04,5.29,5.31,5.28,5.31
CI,1982-05-05,5.28,5.31,5.25,5.29
CI,1982-05-06,5.29,5.33,5.25,5.31
CI,1982-05-07,5.25,5.31,5.19,5.22
CI,1982-05-10,5.25,5.29,5.21,5.24
CI,1982-05-11,5.32,5.36,5.28,5.35
CI,1982-05-12,5.22,5.36,5.08,5.08
CI,1982-05-13,4.6,4.65,4.53,4.57
CI,1982-05-14,4.68,4.71,4.64,4.69
CI,1982-05-17,4.69,4.72,4.67,4.69
CI,1982-05-18,4.68,4.69,4.65,4.67
CI,1982-05-19,4.61,4.64,4.57,4.58
CI,1982-05-20,4.53,4.57,4.49,4.56
CI,1982-05-21,4.5,4.53,4.47,4.49
CI,1982-05-24,4.43,4.49,4.36,4.38
CI,1982-05-25,4.43,4.46,4.39,4.39
CI,1982-05-26,4.35,4.39,4.29,4.32
CI,1982-05-27,4.29,4.32,4.26,4.31
CI,1982-05-28,4.29,4.32,4.25,4.26
CI,1982-06-01,4.22,4.25,4.18,4.22
CI,1982-06-02,4.25,4.28,4.22,4.25
CI,1982-06-03,4.22,4.26,4.17,4.24
CI,1982-06-04,4.15,4.24,4.06,4.08
CI,1982-06-07,3.97,4.01,3.92,3.97
CI,1982-06-08,3.86,3.94,3.78,3.83
CI,1982-06-09,3.79,3.86,3.72,3.72
CI,1982-06-10,3.79,3.86,3.72,3.75
CI,1982-06-11,3.83,3.88,3.78,3.83
CI,1982-06-14,3.75,3.82,3.67,3.67
CI,1982-06-15,3.72,3.75,3.69,3.75
CI,1982-06-16,3.75,3.79,3.69,3.76
CI,1982-06-17,3.71,3.76,3.64,3.67
CI,1982-06-18,3.61,3.67,3.54,3.56
CI,1982-06-21,3.6,3.64,3.56,3.56
CI,1982-06-22,3.61,3.71,3.5,3.71
CI,1982-06-23,3.71,3.75,3.65,3.75
CI,1982-06-24,3.81,3.85,3.75,3.75
CI,1982-06-25,3.79,3.83,3.75,3.79
CI,1982-06-28,3.79,3.81,3.76,3.79
CI,1982-06-29,3.78,3.82,3.74,3.78
CI,1982-06-30,3.81,3.85,3.76,3.78
CI,1982-07-01,3.74,3.78,3.69,3.72
CI,1982-07-02,3.67,3.69,3.62,3.67
CI,1982-07-06,3.54,3.64,3.44,3.58
CI,1982-07-07,3.53,3.58,3.47,3.47
CI,1982-07-08,3.58,3.69,3.46,3.64
CI,1982-07-09,3.67,3.72,3.61,3.64
CI,1982-07-12,3.6,3.64,3.56,3.61
CI,1982-07-13,3.61,3.68,3.56,3.58
CI,1982-07-14,3.6,3.64,3.56,3.61
CI,1982-07-15,3.64,3.65,3.62,3.65
CI,1982-07-16,3.65,3.68,3.62,3.68
CI,1982-07-19,3.69,3.72,3.67,3.68
CI,1982-07-20,3.68,3.71,3.65,3.65
CI,1982-07-21,3.71,3.72,3.68,3.69
CI,1982-07-22,3.75,3.82,3.67,3.82
CI,1982-07-23,3.85,3.88,3.81,3.85
CI,1982-07-26,3.79,3.83,3.74,3.75
CI,1982-07-27,3.74,3.75,3.72,3.75
CI,1982-07-28,3.69,3.72,3.67,3.69
CI,1982-07-29,3.75,3.79,3.69,3.76
CI,1982-07-30,3.76,3.79,3.72,3.72
CI,1982-08-02,3.79,3.82,3.75,3.79
CI,1982-08-03,3.81,3.85,3.76,3.76
CI,1982-08-04,3.79,3.82,3.75,3.81
CI,1982-08-05,3.75,3.78,3.72,3.75
CI,1982-08-06,3.74,3.76,3.71,3.72
CI,1982-08-09,3.68,3.72,3.64,3.67
CI,1982-08-10,3.67,3.71,3.62,3.62
CI,1982-08-11,3.71,3.78,3.62,3.78
CI,1982-08-12,3.83,3.92,3.75,3.81
CI,1982-08-13,3.88,3.93,3.81,3.93
CI,1982-08-16,3.93,3.97,3.88,3.88
CI,1982-08-17,4.03,4.1,3.94,4.1
CI,1982-08-18,4.22,4.39,4.04,4.14
CI,1982-08-19,4.07,4.14,4.0,4.0
CI,1982-08-20,4.11,4.19,4.01,4.19
CI,1982-08-23,4.14,4.19,4.07,4.17
CI,1982-08-24,4.21,4.25,4.15,4.19
CI,1982-08-25,4.19,4.25,4.14,4.15
CI,1982-08-26,4.26,4.36,4.15,4.29
CI,1982-08-27,4.22,4.26,4.18,4.19
CI,1982-08-30,4.19,4.22,4.15,4.18
