ticker,date,open,high,low,close
COP,1981-12-31,5.16,5.26,5.13,5.15
COP,1982-01-04,5.1,5.13,5.05,5.07
COP,1982-01-05,4.94,5.03,4.84,4.88
COP,1982-01-06,4.84,5.0,4.69,4.78
COP,1982-01-07,4.73,4.78,4.69,4.73
COP,1982-01-08,4.72,4.78,4.64,4.64
COP,1982-01-11,4.54,4.65,4.42,4.45
COP,1982-01-12,4.4,4.49,4.3,4.37
COP,1982-01-13,4.42,4.48,4.34,4.35
COP,1982-01-14,4.38,4.48,4.29,4.48
COP,1982-01-15,4.75,4.99,4.51,4.92
COP,1982-01-18,4.96,5.1,4.8,5.1
COP,1982-01-19,5.05,5.18,4.92,4.96
COP,1982-01-20,4.78,4.91,4.65,4.72
COP,1982-01-21,4.81,4.88,4.73,4.81
COP,1982-01-22,4.84,4.89,4.78,4.8
COP,1982-01-25,4.84,4.97,4.72,4.97
COP,1982-01-26,4.99,5.08,4.89,4.92
COP,1982-01-27,4.96,5.02,4.89,4.96
COP,1982-01-28,4.97,5.02,4.91,4.99
COP,1982-01-29,5.02,5.1,4.94,4.96
COP,1982-02-01,4.81,4.89,4.72,4.81
COP,1982-02-02,4.76,4.81,4.7,4.7
COP,1982-02-03,4.62,4.75,4.49,4.53
COP,1982-02-04,4.61,4.7,4.49,4.69
COP,1982-02-05,4.67,4.75,4.59,4.7
COP,1982-02-08,4.57,4.7,4.45,4.46
COP,1982-02-09,4.38,4.46,4.3,4.37
COP,1982-02-10,4.43,4.46,4.38,4.42
COP,1982-02-11,4.67,4.89,4.43,4.89
COP,1982-02-12,4.73,4.89,4.56,4.69
COP,1982-02-16,4.62,4.73,4.51,4.7
COP,1982-02-17,4.56,4.69,4.42,4.48
COP,1982-02-18,4.48,4.54,4.4,4.43
COP,1982-02-19,4.32,4.46,4.18,4.26
COP,1982-02-22,4.05,4.27,3.83,3.91
COP,1982-02-23,4.1,4.29,3.91,4.22
COP,1982-02-24,4.24,4.35,4.13,4.21
COP,1982-02-25,4.11,4.21,4.02,4.07
COP,1982-02-26,4.08,4.13,4.02,4.08
COP,1982-03-01,4.05,4.1,4.0,4.0
COP,1982-03-02,3.95,4.05,3.84,3.88
COP,1982-03-03,3.76,3.83,3.68,3.76
COP,1982-03-04,3.8,3.84,3.73,3.76
COP,1982-03-05,3.75,3.83,3.65,3.7
COP,1982-03-08,3.64,3.76,3.51,3.54
COP,1982-03-09,3.56,3.68,3.43,3.59
COP,1982-03-10,3.56,3.61,3.49,3.49
COP,1982-03-11,3.51,3.56,3.45,3.51
COP,1982-03-12,3.53,3.59,3.46,3.59
COP,1982-03-15,3.68,3.81,3.56,3.81
COP,1982-03-16,3.73,3.8,3.65,3.75
COP,1982-03-17,3.61,3.67,3.54,3.62
COP,1982-03-18,3.65,3.68,3.61,3.65
COP,1982-03-19,3.67,3.72,3.62,3.68
COP,1982-03-22,3.73,3.76,3.68,3.72
COP,1982-03-23,3.68,3.73,3.64,3.67
COP,1982-03-24,3.73,3.76,3.68,3.75
COP,1982-03-25,3.72,3.75,3.68,3.68
COP,1982-03-26,3.7,3.78,3.62,3.73
COP,1982-03-29,3.76,3.84,3.67,3.84
COP,1982-03-30,3.81,3.88,3.75,3.84
COP,1982-03-31,3.91,3.95,3.84,3.92
COP,1982-04-01,3.97,4.03,3.91,4.02
COP,1982-04-02,4.1,4.15,4.03,4.15
COP,1982-04-05,4.11,4.16,4.07,4.11
COP,1982-04-06,4.07,4.11,4.0,4.1
COP,1982-04-07,4.08,4.13,4.02,4.05
COP,1982-04-08,4.13,4.18,4.08,4.13
COP,1982-04-12,4.08,4.15,4.0,4.02
COP,1982-04-13,3.99,4.05,3.91,3.91
