ticker,date,open,high,low,close
FI,2023-06-08,115.87,116.29,115.06,115.29
FI,2023-06-09,115.81,117.25,115.02,116.82
FI,2023-06-12,117.05,117.77,116.64,117.63
FI,2023-06-13,117.91,119.01,117.67,118.76
FI,2023-06-14,119.45,121.49,119.33,120.0
FI,2023-06-15,118.86,120.94,118.45,120.35
FI,2023-06-16,120.73,120.86,119.4,119.96
FI,2023-06-20,118.91,120.29,118.9,119.57
FI,2023-06-21,119.01,120.53,118.39,120.03
FI,2023-06-22,119.8,120.55,119.15,120.54
FI,2023-06-23,120.01,120.9,119.0,120.49
FI,2023-06-26,120.03,121.715,119.69,120.16
FI,2023-06-27,120.51,122.43,120.15,122.4
FI,2023-06-28,122.72,123.81,122.5,122.95
FI,2023-06-29,123.01,124.15,123.01,124.05
FI,2023-06-30,124.91,126.55,124.675,126.15
FI,2023-07-03,125.69,126.16,125.28,125.95
FI,2023-07-05,125.28,125.94,124.16,124.9
FI,2023-07-06,123.99,125.75,123.44,125.39
FI,2023-07-07,124.66,125.825,124.52,125.2
FI,2023-07-10,125.51,127.09,125.11,126.89
FI,2023-07-11,126.93,127.66,126.53,126.99
FI,2023-07-12,128.0,128.03,126.99,127.57
FI,2023-07-13,127.395,128.85,127.395,128.68
FI,2023-07-14,128.48,128.69,127.53,128.0
FI,2023-07-17,127.9,129.15,127.28,128.51
FI,2023-07-18,128.22,129.5,127.026,129.32
FI,2023-07-19,129.235,129.39,127.6,127.63
FI,2023-07-20,128.11,129.56,127.6,129.38
FI,2023-07-21,129.74,130.25,128.5,128.53
FI,2023-07-24,129.36,130.16,128.91,129.75
FI,2023-07-25,129.42,130.74,128.82,130.06
FI,2023-07-26,124.74,128.39,122.6,127.3
FI,2023-07-27,128.07,128.07,122.93,123.51
FI,2023-07-28,124.67,125.13,123.745,124.99
FI,2023-07-31,125.66,126.54,125.355,126.21
FI,2023-08-01,125.96,127.23,125.3,126.97
FI,2023-08-02,126.2,126.89,124.43,124.56
FI,2023-08-03,124.25,125.555,123.95,125.18
FI,2023-08-04,124.98,125.695,124.1,124.82
FI,2023-08-07,125.58,126.18,125.08,125.88
FI,2023-08-08,124.82,125.49,124.31,125.2
FI,2023-08-09,125.585,126.32,124.95,125.05
FI,2023-08-10,126.01,126.95,125.72,126.01
FI,2023-08-11,126.01,126.175,124.98,125.59
FI,2023-08-14,125.5,126.3,124.21,124.47
FI,2023-08-15,123.89,124.55,122.945,123.17
FI,2023-08-16,123.48,123.48,121.61,121.78
FI,2023-08-17,122.13,122.29,120.18,120.33
FI,2023-08-18,119.32,120.8,119.32,120.08
FI,2023-08-21,120.09,120.44,118.57,119.09
FI,2023-08-22,119.6,119.7,118.9,119.26
FI,2023-08-23,119.8,121.02,119.09,120.41
FI,2023-08-24,120.42,121.3,120.21,120.66
FI,2023-08-25,121.34,122.01,120.55,121.48
FI,2023-08-28,122.06,122.83,121.79,122.74
FI,2023-08-29,122.63,123.24,122.12,122.73
FI,2023-08-30,122.51,122.97,121.875,122.59
