ticker,date,open,high,low,close
GS,1999-05-04,76.0,77.25,70.0,70.38
GS,1999-05-05,69.88,69.88,66.25,69.12
GS,1999-05-06,68.0,69.38,67.06,67.94
GS,1999-05-07,67.94,74.88,66.75,74.12
GS,1999-05-10,73.38,73.5,70.25,70.69
GS,1999-05-11,70.0,71.19,69.5,70.62
GS,1999-05-12,71.0,74.88,69.12,73.5
GS,1999-05-13,73.25,75.25,72.5,73.19
GS,1999-05-14,71.25,72.25,69.06,70.19
GS,1999-05-17,69.12,70.25,68.0,68.62
GS,1999-05-18,68.25,70.44,68.12,68.62
GS,1999-05-19,69.38,69.81,68.75,69.31
GS,1999-05-20,69.56,70.12,68.38,68.38
GS,1999-05-21,68.12,68.81,67.5,67.5
GS,1999-05-24,67.0,67.25,65.0,65.31
GS,1999-05-25,64.12,65.94,64.0,64.5
GS,1999-05-26,65.62,66.62,63.06,66.06
GS,1999-05-27,65.0,67.75,64.69,67.75
GS,1999-05-28,67.75,68.81,67.0,67.94
GS,1999-06-01,66.62,66.62,63.56,64.19
GS,1999-06-02,63.75,64.06,62.0,63.25
GS,1999-06-03,64.0,64.19,63.12,63.62
GS,1999-06-04,64.31,67.0,64.31,65.38
GS,1999-06-07,65.19,67.75,65.19,65.94
GS,1999-06-08,65.38,65.69,63.75,63.75
GS,1999-06-09,64.25,65.5,63.62,65.5
GS,1999-06-10,64.88,64.94,63.31,63.38
GS,1999-06-11,63.94,64.31,62.31,63.25
GS,1999-06-14,63.5,64.0,60.5,61.25
GS,1999-06-15,62.88,63.38,62.25,62.75
GS,1999-06-16,63.94,65.44,63.94,65.25
GS,1999-06-17,64.5,66.88,64.5,65.0
GS,1999-06-18,64.25,64.88,63.5,64.81
GS,1999-06-21,66.69,69.94,66.56,69.5
GS,1999-06-22,70.12,70.12,67.75,68.0
GS,1999-06-23,67.06,67.44,64.88,65.0
GS,1999-06-24,66.06,66.5,64.5,65.06
GS,1999-06-25,65.5,66.81,65.38,66.25
GS,1999-06-28,66.44,67.5,65.75,66.56
GS,1999-06-29,66.0,68.5,66.0,67.75
GS,1999-06-30,68.5,72.25,66.12,72.25
GS,1999-07-01,71.38,71.44,69.75,70.81
GS,1999-07-02,70.56,71.19,69.69,70.94
GS,1999-07-06,70.0,71.19,69.25,70.5
GS,1999-07-07,69.56,70.0,68.0,68.0
GS,1999-07-08,68.0,68.88,67.19,67.25
GS,1999-07-09,67.44,68.19,67.25,67.25
GS,1999-07-12,68.0,68.94,67.88,68.38
GS,1999-07-13,68.25,68.69,67.62,67.88
GS,1999-07-14,67.38,67.75,67.31,67.62
GS,1999-07-15,68.0,68.0,67.5,67.94
GS,1999-07-16,67.75,68.75,67.75,68.06
GS,1999-07-19,68.25,70.75,68.25,69.44
GS,1999-07-20,69.12,70.44,67.88,68.12
GS,1999-07-21,68.0,68.06,67.12,67.88
GS,1999-07-22,68.12,68.25,66.5,66.5
GS,1999-07-23,66.38,66.38,64.0,64.06
GS,1999-07-26,64.25,64.75,63.19,63.25
