ticker,date,open,high,low,close
IBM,1962-01-02,7.37,7.37,7.29,7.29
IBM,1962-01-03,7.29,7.36,7.29,7.36
IBM,1962-01-04,7.36,7.36,7.28,7.28
IBM,1962-01-05,7.27,7.27,7.13,7.14
IBM,1962-01-08,7.13,7.13,6.95,7.0
IBM,1962-01-09,7.04,7.18,7.04,7.09
IBM,1962-01-10,7.1,7.13,7.1,7.1
IBM,1962-01-11,7.12,7.18,7.12,7.18
IBM,1962-01-12,7.19,7.24,7.19,7.19
IBM,1962-01-15,7.21,7.24,7.21,7.22
IBM,1962-01-16,7.21,7.21,7.14,7.14
IBM,1962-01-17,7.11,7.11,7.01,7.03
IBM,1962-01-18,7.05,7.12,7.05,7.05
IBM,1962-01-19,7.05,7.07,6.97,7.06
IBM,1962-01-22,7.06,7.13,7.04,7.04
IBM,1962-01-23,7.04,7.05,6.96,6.97
IBM,1962-01-24,6.97,7.01,6.94,7.01
IBM,1962-01-25,7.01,7.07,6.92,6.93
IBM,1962-01-26,6.93,6.96,6.9,6.9
IBM,1962-01-29,6.9,6.95,6.78,6.78
IBM,1962-01-30,6.78,6.82,6.7,6.7
IBM,1962-01-31,6.76,6.91,6.76,6.91
IBM,1962-02-01,6.98,7.09,6.98,7.07
IBM,1962-02-02,7.07,7.11,7.04,7.11
IBM,1962-02-05,7.11,7.11,6.99,7.02
IBM,1962-02-06,7.02,7.04,7.0,7.03
IBM,1962-02-07,7.04,7.07,7.04,7.04
IBM,1962-02-08,7.04,7.07,7.04,7.04
IBM,1962-02-09,7.04,7.09,7.01,7.09
IBM,1962-02-12,7.09,7.15,7.09,7.1
IBM,1962-02-13,7.1,7.11,6.99,6.99
IBM,1962-02-14,6.99,7.01,6.96,6.97
IBM,1962-02-15,6.97,6.97,6.94,6.95
IBM,1962-02-16,6.95,6.97,6.94,6.94
IBM,1962-02-19,6.94,6.97,6.86,6.87
IBM,1962-02-20,6.87,6.91,6.87,6.87
IBM,1962-02-21,6.87,6.92,6.82,6.82
IBM,1962-02-23,6.83,6.86,6.83,6.85
IBM,1962-02-26,6.85,6.85,6.81,6.82
IBM,1962-02-27,6.82,6.88,6.78,6.83
IBM,1962-02-28,6.83,6.85,6.79,6.85
IBM,1962-03-01,6.87,6.93,6.87,6.93
IBM,1962-03-02,6.99,7.02,6.99,6.99
IBM,1962-03-05,6.99,6.99,6.93,6.96
IBM,1962-03-06,6.96,6.99,6.95,6.97
IBM,1962-03-07,6.97,6.99,6.95,6.99
IBM,1962-03-08,6.99,7.0,6.95,7.0
IBM,1962-03-09,7.01,7.05,7.01,7.05
IBM,1962-03-12,7.05,7.07,7.02,7.04
IBM,1962-03-13,7.04,7.04,7.01,7.04
IBM,1962-03-14,7.04,7.06,7.01,7.02
IBM,1962-03-15,7.02,7.06,7.01,7.01
IBM,1962-03-16,7.01,7.04,7.01,7.04
IBM,1962-03-19,7.06,7.09,7.06,7.06
IBM,1962-03-20,7.05,7.05,7.02,7.02
IBM,1962-03-21,7.02,7.04,7.0,7.02
IBM,1962-03-22,7.0,7.0,6.95,6.95
IBM,1962-03-23,6.95,6.99,6.95,6.97
IBM,1962-03-26,6.97,7.0,6.96,6.97
IBM,1962-03-27,6.95,6.95,6.83,6.84
IBM,1962-03-28,6.85,6.9,6.85,6.88
IBM,1962-03-29,6.88,6.91,6.86,6.86
IBM,1962-03-30,6.85,6.85,6.76,6.79
IBM,1962-04-02,6.79,6.79,6.7,6.7
IBM,1962-04-03,6.69,6.69,6.46,6.53
IBM,1962-04-04,6.53,6.59,6.5,6.5
IBM,1962-04-05,6.54,6.64,6.54,6.64
IBM,1962-04-06,6.64,6.69,6.59,6.63
IBM,1962-04-09,6.63,6.67,6.59,6.64
IBM,1962-04-10,6.64,6.67,6.6,6.67
IBM,1962-04-11,6.67,6.72,6.58,6.58
IBM,1962-04-12,6.58,6.59,6.51,6.51
IBM,1962-04-13,6.51,6.6,6.5,6.6
IBM,1962-04-16,6.6,6.65,6.53,6.6
IBM,1962-04-17,6.6,6.63,6.56,6.63
IBM,1962-04-18,6.63,6.69,6.61,6.62
IBM,1962-04-19,6.62,6.64,6.59,6.62
IBM,1962-04-23,6.62,6.62,6.58,6.61
IBM,1962-04-24,6.61,6.65,6.6,6.6
IBM,1962-04-25,6.6,6.63,6.53,6.53
IBM,1962-04-26,6.53,6.53,6.37,6.37
IBM,1962-04-27,6.37,6.44,6.12,6.19
IBM,1962-04-30,6.19,6.25,5.74,5.79
IBM,1962-05-01,5.79,5.92,5.48,5.89
IBM,1962-05-02,5.99,6.17,5.99,6.02
IBM,1962-05-03,6.02,6.17,5.98,6.15
IBM,1962-05-04,6.15,6.2,6.09,6.2
IBM,1962-05-07,6.2,6.24,6.06,6.06
IBM,1962-05-08,6.05,6.05,5.86,5.86
IBM,1962-05-09,5.86,5.91,5.74,5.75
IBM,1962-05-10,5.75,5.86,5.72,5.77
IBM,1962-05-11,5.77,5.86,5.66,5.69
IBM,1962-05-14,5.69,5.79,5.59,5.79
IBM,1962-05-15,5.79,5.9,5.76,5.76
IBM,1962-05-16,5.76,5.86,5.76,5.83
IBM,1962-05-17,5.83,5.83,5.7,5.72
IBM,1962-05-18,5.72,5.76,5.68,5.76
IBM,1962-05-21,5.76,5.76,5.69,5.74
IBM,1962-05-22,5.73,5.73,5.54,5.54
IBM,1962-05-23,5.54,5.58,5.29,5.29
IBM,1962-05-24,5.29,5.43,5.07,5.07
IBM,1962-05-25,5.07,5.19,4.95,5.08
IBM,1962-05-28,5.06,5.06,4.53,4.6
IBM,1962-05-29,4.66,4.93,4.66,4.88
IBM,1962-05-31,4.97,5.1,4.97,5.0
IBM,1962-06-01,4.98,4.98,4.88,4.91
IBM,1962-06-04,4.84,4.84,4.59,4.59
IBM,1962-06-05,4.59,4.77,4.5,4.64
IBM,1962-06-06,4.64,4.79,4.61,4.66
IBM,1962-06-07,4.69,4.77,4.69,4.72
IBM,1962-06-08,4.72,4.79,4.72,4.73
IBM,1962-06-11,4.73,4.74,4.57,4.58
IBM,1962-06-12,4.53,4.53,4.27,4.27
IBM,1962-06-13,4.27,4.37,4.11,4.11
IBM,1962-06-14,4.11,4.23,3.82,3.9
IBM,1962-06-15,3.9,4.26,3.83,4.25
IBM,1962-06-18,4.25,4.33,4.05,4.2
IBM,1962-06-19,4.2,4.28,4.16,4.28
IBM,1962-06-20,4.28,4.37,4.18,4.18
IBM,1962-06-21,4.13,4.13,4.02,4.02
IBM,1962-06-22,4.02,4.1,3.96,4.08
IBM,1962-06-25,4.08,4.28,4.02,4.24
IBM,1962-06-26,4.24,4.32,4.08,4.08
IBM,1962-06-27,4.09,4.24,4.09,4.24
IBM,1962-06-28,4.27,4.44,4.27,4.38
IBM,1962-06-29,4.38,4.43,4.31,4.32
IBM,1962-07-02,4.32,4.46,4.31,4.46
IBM,1962-07-03,4.46,4.51,4.44,4.48
IBM,1962-07-05,4.48,4.5,4.45,4.46
IBM,1962-07-06,4.41,4.41,4.36,4.4
IBM,1962-07-09,4.4,4.47,4.35,4.46
IBM,1962-07-10,4.54,4.61,4.54,4.57
IBM,1962-07-11,4.57,4.77,4.55,4.77
IBM,1962-07-12,4.78,4.97,4.78,4.83
IBM,1962-07-13,4.83,4.86,4.75,4.8
IBM,1962-07-16,4.8,4.88,4.75,4.88
IBM,1962-07-17,4.88,4.9,4.72,4.72
IBM,1962-07-18,4.72,4.74,4.61,4.66
IBM,1962-07-19,4.68,4.79,4.68,4.68
IBM,1962-07-20,4.7,4.77,4.7,4.74
IBM,1962-07-23,4.74,4.81,4.74,4.75
IBM,1962-07-24,4.73,4.73,4.63,4.63
IBM,1962-07-25,4.63,4.7,4.57,4.68
IBM,1962-07-26,4.71,4.75,4.71,4.71
IBM,1962-07-27,4.71,4.79,4.71,4.79
IBM,1962-07-30,4.82,4.94,4.82,4.94
IBM,1962-07-31,4.94,5.02,4.93,4.93
IBM,1962-08-01,4.92,4.92,4.8,4.8
IBM,1962-08-02,4.8,4.92,4.8,4.92
IBM,1962-08-03,4.92,4.94,4.87,4.91
IBM,1962-08-06,4.91,4.93,4.84,4.84
IBM,1962-08-07,4.84,4.84,4.76,4.76
IBM,1962-08-08,4.76,4.88,4.72,4.87
IBM,1962-08-09,4.86,4.86,4.78,4.8
IBM,1962-08-10,4.8,4.84,4.78,4.79
IBM,1962-08-13,4.79,4.84,4.79,4.83
IBM,1962-08-14,4.83,4.92,4.82,4.92
IBM,1962-08-15,4.93,5.03,4.93,4.93
IBM,1962-08-16,4.93,5.01,4.92,4.92
IBM,1962-08-17,4.92,4.99,4.92,4.96
IBM,1962-08-20,4.99,5.06,4.99,5.02
IBM,1962-08-21,5.02,5.07,5.0,5.01
IBM,1962-08-22,5.02,5.25,5.02,5.21
IBM,1962-08-23,5.21,5.29,5.19,5.23
IBM,1962-08-24,5.23,5.24,5.19,5.21
IBM,1962-08-27,5.21,5.25,5.19,5.2
IBM,1962-08-28,5.2,5.2,5.02,5.02
IBM,1962-08-29,5.02,5.05,4.95,4.98
