ticker,date,open,high,low,close
LMT,1977-01-03,0.95,0.96,0.95,0.96
LMT,1977-01-04,0.96,0.97,0.91,0.96
LMT,1977-01-05,0.96,0.98,0.96,0.98
LMT,1977-01-06,0.98,1.04,0.98,1.04
LMT,1977-01-07,1.04,1.05,1.02,1.05
LMT,1977-01-10,1.05,1.06,1.04,1.05
LMT,1977-01-11,1.05,1.05,1.02,1.02
LMT,1977-01-12,1.01,1.01,0.98,1.0
LMT,1977-01-13,1.0,1.0,0.97,0.98
LMT,1977-01-14,0.98,1.0,0.98,0.98
LMT,1977-01-17,1.0,1.04,1.0,1.01
LMT,1977-01-18,1.02,1.04,1.02,1.04
LMT,1977-01-19,1.04,1.05,1.02,1.02
LMT,1977-01-20,1.02,1.04,1.01,1.01
LMT,1977-01-21,1.01,1.02,1.0,1.0
LMT,1977-01-24,1.04,1.09,1.04,1.09
LMT,1977-01-25,1.09,1.12,1.07,1.09
LMT,1977-01-26,1.09,1.09,1.06,1.07
LMT,1977-01-27,1.07,1.09,1.05,1.07
LMT,1977-01-28,1.07,1.09,1.05,1.07
LMT,1977-01-31,1.06,1.06,1.04,1.05
LMT,1977-02-01,1.05,1.05,1.04,1.05
LMT,1977-02-02,1.04,1.04,1.01,1.01
LMT,1977-02-03,1.01,1.02,0.98,1.02
LMT,1977-02-04,1.02,1.04,1.02,1.02
LMT,1977-02-07,1.04,1.06,1.04,1.04
LMT,1977-02-08,1.04,1.04,1.02,1.02
LMT,1977-02-09,1.02,1.05,1.02,1.02
LMT,1977-02-10,1.02,1.02,1.0,1.01
LMT,1977-02-11,1.01,1.01,0.97,0.97
LMT,1977-02-14,0.96,0.96,0.95,0.95
LMT,1977-02-15,0.96,0.98,0.96,0.98
LMT,1977-02-16,0.98,1.0,0.97,0.98
LMT,1977-02-17,0.98,1.04,0.98,1.02
LMT,1977-02-18,1.02,1.06,1.02,1.04
LMT,1977-02-22,1.05,1.06,1.05,1.05
LMT,1977-02-23,1.05,1.06,1.04,1.04
LMT,1977-02-24,1.04,1.04,1.02,1.02
LMT,1977-02-25,1.02,1.02,1.01,1.01
LMT,1977-02-28,1.01,1.02,1.01,1.02
LMT,1977-03-01,1.02,1.06,1.02,1.05
LMT,1977-03-02,1.05,1.05,1.02,1.02
LMT,1977-03-03,1.02,1.02,1.01,1.01
LMT,1977-03-04,1.01,1.02,1.01,1.02
LMT,1977-03-07,1.01,1.01,0.98,0.98
LMT,1977-03-08,0.98,1.0,0.98,0.98
LMT,1977-03-09,0.98,1.0,0.98,0.98
LMT,1977-03-10,0.98,1.02,0.98,1.01
LMT,1977-03-11,1.01,1.02,1.01,1.01
LMT,1977-03-14,1.02,1.06,1.02,1.05
LMT,1977-03-15,1.05,1.05,1.04,1.04
LMT,1977-03-16,1.04,1.04,1.02,1.04
LMT,1977-03-17,1.04,1.04,1.02,1.02
LMT,1977-03-18,1.04,1.04,1.02,1.02
LMT,1977-03-21,1.02,1.02,1.01,1.01
LMT,1977-03-22,1.01,1.01,0.98,0.98
LMT,1977-03-23,0.98,0.98,0.97,0.97
LMT,1977-03-24,0.97,0.98,0.95,0.95
LMT,1977-03-25,0.95,0.96,0.95,0.95
LMT,1977-03-28,0.95,0.96,0.95,0.95
LMT,1977-03-29,0.95,0.96,0.95,0.96
LMT,1977-03-30,0.96,0.97,0.96,0.97
LMT,1977-03-31,0.97,0.97,0.95,0.95
LMT,1977-04-01,0.95,1.0,0.95,0.98
LMT,1977-04-04,1.0,1.01,1.0,1.0
LMT,1977-04-05,1.0,1.01,1.0,1.0
LMT,1977-04-06,1.0,1.01,1.0,1.01
LMT,1977-04-07,1.01,1.01,0.98,1.01
LMT,1977-04-11,0.97,0.97,0.96,0.96
LMT,1977-04-12,0.96,0.98,0.96,0.96
LMT,1977-04-13,0.96,0.98,0.95,0.97
LMT,1977-04-14,0.97,0.98,0.95,0.97
LMT,1977-04-15,0.97,1.01,0.96,1.01
LMT,1977-04-18,1.01,1.02,0.97,0.98
LMT,1977-04-19,0.97,0.97,0.95,0.97
LMT,1977-04-20,0.96,0.96,0.95,0.96
LMT,1977-04-21,0.96,0.97,0.96,0.97
LMT,1977-04-22,0.97,0.97,0.95,0.95
LMT,1977-04-25,0.95,0.95,0.92,0.92
LMT,1977-04-26,0.92,0.93,0.92,0.93
LMT,1977-04-27,0.93,0.95,0.93,0.93
LMT,1977-04-28,0.93,0.95,0.92,0.92
LMT,1977-04-29,0.92,0.93,0.92,0.93
LMT,1977-05-02,0.93,0.95,0.92,0.95
LMT,1977-05-03,0.95,0.95,0.91,0.92
LMT,1977-05-04,0.92,0.98,0.92,0.98
LMT,1977-05-05,0.98,1.05,0.98,1.05
LMT,1977-05-06,1.06,1.15,1.05,1.12
LMT,1977-05-09,1.12,1.18,1.11,1.18
LMT,1977-05-10,1.18,1.21,1.15,1.18
LMT,1977-05-11,1.19,1.28,1.19,1.23
LMT,1977-05-12,1.24,1.28,1.24,1.27
LMT,1977-05-13,1.27,1.27,1.15,1.24
LMT,1977-05-16,1.24,1.27,1.21,1.23
LMT,1977-05-17,1.2,1.2,1.16,1.19
LMT,1977-05-18,1.19,1.21,1.19,1.19
LMT,1977-05-19,1.2,1.21,1.2,1.21
LMT,1977-05-20,1.21,1.21,1.19,1.2
LMT,1977-05-23,1.2,1.2,1.18,1.18
LMT,1977-05-24,1.16,1.16,1.15,1.16
LMT,1977-05-25,1.16,1.19,1.12,1.15
LMT,1977-05-26,1.15,1.16,1.14,1.14
LMT,1977-05-27,1.14,1.15,1.12,1.12
LMT,1977-05-31,1.12,1.16,1.12,1.16
LMT,1977-06-01,1.16,1.19,1.16,1.18
LMT,1977-06-02,1.18,1.19,1.16,1.16
LMT,1977-06-03,1.16,1.25,1.16,1.21
LMT,1977-06-06,1.21,1.25,1.2,1.21
LMT,1977-06-07,1.21,1.41,1.21,1.41
LMT,1977-06-08,1.41,1.42,1.34,1.37
LMT,1977-06-09,1.37,1.37,1.33,1.34
LMT,1977-06-10,1.34,1.39,1.34,1.39
LMT,1977-06-13,1.38,1.38,1.34,1.37
LMT,1977-06-14,1.37,1.37,1.34,1.35
LMT,1977-06-15,1.35,1.47,1.34,1.44
LMT,1977-06-16,1.44,1.5,1.43,1.47
LMT,1977-06-17,1.48,1.56,1.48,1.56
