ticker,date,open,high,low,close
MDT,1973-05-02,0.0,0.35,0.35,0.35
MDT,1973-05-03,0.0,0.36,0.35,0.35
MDT,1973-05-04,0.0,0.38,0.38,0.38
MDT,1973-05-07,0.0,0.38,0.37,0.37
MDT,1973-05-08,0.0,0.38,0.38,0.38
MDT,1973-05-09,0.0,0.38,0.37,0.37
MDT,1973-05-10,0.0,0.38,0.37,0.37
MDT,1973-05-11,0.0,0.35,0.35,0.35
MDT,1973-05-14,0.0,0.33,0.32,0.32
MDT,1973-05-15,0.0,0.35,0.34,0.34
MDT,1973-05-16,0.0,0.36,0.36,0.36
MDT,1973-05-17,0.0,0.36,0.35,0.35
MDT,1973-05-18,0.0,0.34,0.33,0.33
MDT,1973-05-21,0.0,0.33,0.32,0.32
MDT,1973-05-22,0.0,0.34,0.34,0.34
MDT,1973-05-23,0.0,0.34,0.34,0.34
MDT,1973-05-24,0.0,0.36,0.35,0.35
MDT,1973-05-25,0.0,0.38,0.37,0.37
MDT,1973-05-29,0.0,0.38,0.37,0.37
MDT,1973-05-30,0.0,0.36,0.35,0.35
MDT,1973-05-31,0.0,0.36,0.35,0.35
MDT,1973-06-01,0.0,0.36,0.35,0.35
MDT,1973-06-04,0.0,0.33,0.33,0.33
MDT,1973-06-05,0.0,0.36,0.35,0.35
MDT,1973-06-06,0.0,0.36,0.35,0.35
MDT,1973-06-07,0.0,0.37,0.36,0.36
MDT,1973-06-08,0.0,0.38,0.37,0.37
MDT,1973-06-11,0.0,0.37,0.36,0.36
MDT,1973-06-12,0.0,0.38,0.38,0.38
MDT,1973-06-13,0.0,0.38,0.38,0.38
MDT,1973-06-14,0.0,0.39,0.38,0.38
MDT,1973-06-15,0.0,0.39,0.38,0.38
MDT,1973-06-18,0.0,0.38,0.38,0.38
MDT,1973-06-19,0.0,0.37,0.36,0.36
MDT,1973-06-20,0.0,0.37,0.36,0.36
MDT,1973-06-21,0.0,0.36,0.35,0.35
MDT,1973-06-22,0.0,0.37,0.36,0.36
MDT,1973-06-25,0.0,0.36,0.35,0.35
MDT,1973-06-26,0.0,0.37,0.36,0.36
MDT,1973-06-27,0.0,0.37,0.36,0.36
MDT,1973-06-28,0.0,0.38,0.37,0.37
MDT,1973-06-29,0.0,0.37,0.37,0.37
