ticker,date,open,high,low,close
SHEL,1994-10-31,29.12,29.19,29.06,29.12
SHEL,1994-11-01,28.56,28.81,28.56,28.56
SHEL,1994-11-02,28.22,28.47,28.22,28.22
SHEL,1994-11-03,28.22,28.34,28.09,28.22
SHEL,1994-11-04,27.78,28.25,27.75,27.78
SHEL,1994-11-07,27.94,28.03,27.72,27.94
SHEL,1994-11-08,28.0,28.12,27.97,28.0
SHEL,1994-11-09,27.59,28.12,27.5,27.59
SHEL,1994-11-10,27.41,27.59,27.38,27.41
SHEL,1994-11-11,27.38,27.47,27.19,27.38
SHEL,1994-11-14,27.34,27.41,27.25,27.34
SHEL,1994-11-15,27.22,27.56,27.16,27.22
SHEL,1994-11-16,27.44,27.44,27.25,27.44
SHEL,1994-11-17,27.19,27.44,27.0,27.19
SHEL,1994-11-18,27.06,27.22,27.0,27.06
SHEL,1994-11-21,27.0,27.38,26.97,27.0
SHEL,1994-11-22,26.62,27.12,26.59,26.62
SHEL,1994-11-23,26.75,26.81,26.38,26.75
SHEL,1994-11-25,26.56,26.72,26.44,26.56
SHEL,1994-11-28,26.97,26.97,26.47,26.97
SHEL,1994-11-29,27.03,27.06,26.88,27.03
SHEL,1994-11-30,27.16,27.28,27.0,27.16
SHEL,1994-12-01,26.75,27.03,26.69,26.75
SHEL,1994-12-02,26.81,26.84,26.62,26.81
SHEL,1994-12-05,26.62,26.78,26.62,26.62
SHEL,1994-12-06,26.53,26.59,26.28,26.53
SHEL,1994-12-07,26.5,26.5,26.38,26.5
SHEL,1994-12-08,26.25,26.47,26.22,26.25
SHEL,1994-12-09,26.44,26.44,26.25,26.44
SHEL,1994-12-12,26.75,26.78,26.38,26.75
SHEL,1994-12-13,26.5,26.69,26.5,26.5
SHEL,1994-12-14,26.62,26.72,26.5,26.62
SHEL,1994-12-15,26.5,26.62,26.47,26.5
SHEL,1994-12-16,26.78,26.84,26.53,26.78
SHEL,1994-12-19,26.72,26.72,26.59,26.72
SHEL,1994-12-20,26.62,26.75,26.62,26.62
SHEL,1994-12-21,26.78,27.0,26.62,26.78
SHEL,1994-12-22,26.66,26.84,26.62,26.66
SHEL,1994-12-23,26.75,26.78,26.66,26.75
SHEL,1994-12-27,27.09,27.16,26.81,27.09
