ticker,date,open,high,low,close
SO,1981-12-31,3.7,3.74,3.67,3.67
SO,1982-01-04,3.7,3.74,3.67,3.74
SO,1982-01-05,3.82,3.93,3.67,3.7
SO,1982-01-06,3.7,3.74,3.67,3.7
SO,1982-01-07,3.7,3.7,3.67,3.67
SO,1982-01-08,3.7,3.74,3.67,3.74
SO,1982-01-11,3.74,3.74,3.7,3.74
SO,1982-01-12,3.7,3.7,3.67,3.67
SO,1982-01-13,3.7,3.74,3.63,3.63
SO,1982-01-14,3.67,3.67,3.63,3.63
SO,1982-01-15,3.67,3.7,3.63,3.7
SO,1982-01-18,3.7,3.74,3.67,3.7
SO,1982-01-19,3.7,3.74,3.67,3.7
SO,1982-01-20,3.7,3.7,3.67,3.67
SO,1982-01-21,3.7,3.74,3.67,3.74
SO,1982-01-22,3.74,3.78,3.67,3.74
SO,1982-01-25,3.74,3.78,3.7,3.74
SO,1982-01-26,3.59,3.63,3.55,3.63
SO,1982-01-27,3.59,3.63,3.55,3.55
SO,1982-01-28,3.51,3.67,3.36,3.63
SO,1982-01-29,3.67,3.7,3.63,3.7
SO,1982-02-01,3.67,3.7,3.59,3.59
SO,1982-02-02,3.63,3.67,3.59,3.63
SO,1982-02-03,3.63,3.67,3.59,3.63
SO,1982-02-04,3.63,3.63,3.59,3.63
SO,1982-02-05,3.63,3.67,3.59,3.67
SO,1982-02-08,3.63,3.67,3.59,3.59
SO,1982-02-09,3.59,3.63,3.55,3.59
SO,1982-02-10,3.63,3.63,3.59,3.59
SO,1982-02-11,3.59,3.63,3.55,3.59
SO,1982-02-12,3.59,3.63,3.55,3.59
SO,1982-02-16,3.55,3.59,3.47,3.55
SO,1982-02-17,3.59,3.59,3.55,3.55
SO,1982-02-18,3.55,3.59,3.51,3.55
SO,1982-02-19,3.55,3.55,3.51,3.55
SO,1982-02-22,3.55,3.59,3.51,3.51
SO,1982-02-23,3.55,3.59,3.51,3.55
SO,1982-02-24,3.63,3.67,3.55,3.67
SO,1982-02-25,3.67,3.7,3.63,3.67
SO,1982-02-26,3.67,3.7,3.63,3.7
SO,1982-03-01,3.7,3.7,3.67,3.7
SO,1982-03-02,3.74,3.78,3.7,3.74
SO,1982-03-03,3.74,3.78,3.7,3.74
SO,1982-03-04,3.74,3.78,3.67,3.78
SO,1982-03-05,3.78,3.78,3.74,3.78
