ticker,date,open,high,low,close
UNP,1980-01-02,3.01,3.05,3.01,3.02
UNP,1980-01-03,2.99,2.99,2.95,2.97
UNP,1980-01-04,2.98,3.03,2.98,3.03
UNP,1980-01-07,3.03,3.05,3.01,3.01
UNP,1980-01-08,3.01,3.04,2.9,2.9
UNP,1980-01-09,2.9,2.93,2.82,2.88
UNP,1980-01-10,2.88,2.88,2.86,2.86
UNP,1980-01-11,2.86,2.87,2.85,2.86
UNP,1980-01-14,2.86,2.93,2.86,2.92
UNP,1980-01-15,2.94,3.02,2.94,3.02
UNP,1980-01-16,3.03,3.06,3.03,3.04
UNP,1980-01-17,3.04,3.05,3.03,3.04
UNP,1980-01-18,3.04,3.1,3.04,3.08
UNP,1980-01-21,3.12,3.17,3.12,3.17
UNP,1980-01-22,3.17,3.23,3.16,3.18
UNP,1980-01-23,3.18,3.2,3.16,3.18
UNP,1980-01-24,3.29,3.34,3.29,3.3
UNP,1980-01-25,3.29,3.29,3.25,3.27
UNP,1980-01-28,3.27,3.31,3.26,3.29
UNP,1980-01-29,3.29,3.34,3.29,3.29
UNP,1980-01-30,3.29,3.3,3.28,3.29
UNP,1980-01-31,3.29,3.34,3.26,3.26
UNP,1980-02-01,3.26,3.29,3.26,3.29
UNP,1980-02-04,3.29,3.32,2.97,3.29
UNP,1980-02-05,3.31,3.46,3.31,3.46
UNP,1980-02-06,3.52,3.76,3.52,3.64
UNP,1980-02-07,3.64,3.9,3.64,3.87
UNP,1980-02-08,3.87,4.04,3.74,4.03
UNP,1980-02-11,4.03,4.12,3.95,3.97
UNP,1980-02-12,3.96,3.96,3.86,3.94
UNP,1980-02-13,3.94,3.96,3.9,3.95
UNP,1980-02-14,3.95,3.95,3.76,3.8
UNP,1980-02-15,3.8,3.86,3.76,3.86
UNP,1980-02-19,3.86,3.92,3.85,3.92
UNP,1980-02-20,3.92,3.98,3.91,3.98
UNP,1980-02-21,3.98,4.11,3.97,4.04
UNP,1980-02-22,4.04,4.24,3.98,4.15
UNP,1980-02-25,4.15,4.19,4.02,4.03
UNP,1980-02-26,4.03,4.1,4.0,4.08
UNP,1980-02-27,4.08,4.13,3.93,3.97
UNP,1980-02-28,3.97,4.04,3.9,3.92
UNP,1980-02-29,3.93,4.02,3.93,3.96
UNP,1980-03-03,3.96,3.99,3.93,3.93
UNP,1980-03-04,3.93,3.96,3.91,3.96
UNP,1980-03-05,3.96,4.03,3.94,3.95
UNP,1980-03-06,3.94,3.94,3.81,3.82
UNP,1980-03-07,3.81,3.81,3.68,3.71
UNP,1980-03-10,3.71,3.73,3.63,3.68
UNP,1980-03-11,3.68,3.69,3.54,3.58
UNP,1980-03-12,3.58,3.6,3.55,3.6
UNP,1980-03-13,3.6,3.64,3.57,3.6
UNP,1980-03-14,3.59,3.59,3.55,3.55
UNP,1980-03-17,3.55,3.55,3.38,3.39
UNP,1980-03-18,3.39,3.43,3.35,3.43
UNP,1980-03-19,3.47,3.61,3.47,3.55
UNP,1980-03-20,3.55,3.56,3.44,3.48
UNP,1980-03-21,3.46,3.46,3.42,3.43
UNP,1980-03-24,3.43,3.44,3.33,3.35
UNP,1980-03-25,3.35,3.41,3.32,3.39
UNP,1980-03-26,3.39,3.43,3.38,3.38
UNP,1980-03-27,3.38,3.4,3.28,3.35
UNP,1980-03-28,3.35,3.47,3.35,3.45
UNP,1980-03-31,3.48,3.55,3.48,3.52
UNP,1980-04-01,3.51,3.51,3.44,3.47
UNP,1980-04-02,3.47,3.53,3.46,3.48
UNP,1980-04-03,3.48,3.48,3.38,3.43
UNP,1980-04-07,3.41,3.41,3.34,3.35
UNP,1980-04-08,3.35,3.37,3.31,3.36
UNP,1980-04-09,3.36,3.4,3.34,3.4
UNP,1980-04-10,3.4,3.41,3.36,3.37
UNP,1980-04-11,3.37,3.39,3.33,3.35
UNP,1980-04-14,3.34,3.34,3.28,3.3
UNP,1980-04-15,3.3,3.35,3.3,3.31
UNP,1980-04-16,3.31,3.36,3.25,3.26
UNP,1980-04-17,3.22,3.22,3.03,3.08
UNP,1980-04-18,3.08,3.15,3.06,3.07
UNP,1980-04-21,3.07,3.09,2.99,2.99
UNP,1980-04-22,3.05,3.2,3.05,3.2
UNP,1980-04-23,3.21,3.27,3.21,3.23
UNP,1980-04-24,3.17,3.17,3.07,3.14
UNP,1980-04-25,3.14,3.25,3.05,3.23
UNP,1980-04-28,3.23,3.23,3.13,3.14
UNP,1980-04-29,3.14,3.16,3.12,3.14
UNP,1980-04-30,3.14,3.14,3.07,3.14
UNP,1980-05-01,3.14,3.17,3.09,3.11
UNP,1980-05-02,3.11,3.18,3.11,3.18
UNP,1980-05-05,3.18,3.21,3.17,3.17
UNP,1980-05-06,3.17,3.24,3.17,3.2
UNP,1980-05-07,3.2,3.27,3.2,3.27
UNP,1980-05-08,3.28,3.32,3.28,3.28
