ticker,date,open,high,low,close
UPS,1999-11-10,65.0,70.31,64.5,68.25
UPS,1999-11-11,68.75,76.94,68.75,75.0
UPS,1999-11-12,76.0,76.62,69.25,70.5
UPS,1999-11-15,70.5,70.88,67.31,69.0
UPS,1999-11-16,67.88,68.0,65.0,66.0
UPS,1999-11-17,65.56,68.19,65.12,67.69
UPS,1999-11-18,67.94,68.94,66.12,66.31
UPS,1999-11-19,66.31,66.31,64.25,65.0
UPS,1999-11-22,64.06,64.25,61.0,63.12
UPS,1999-11-23,63.38,67.0,63.25,66.19
UPS,1999-11-24,66.0,68.19,65.94,67.69
UPS,1999-11-26,68.44,69.44,68.19,69.12
UPS,1999-11-29,70.0,70.25,67.0,68.12
UPS,1999-11-30,67.38,67.62,66.06,66.06
UPS,1999-12-01,66.25,67.38,65.62,65.88
UPS,1999-12-02,66.0,67.06,65.88,67.06
UPS,1999-12-03,67.44,67.69,66.31,66.44
UPS,1999-12-06,66.5,66.5,65.38,66.25
UPS,1999-12-07,65.94,68.0,65.88,68.0
UPS,1999-12-08,68.0,68.38,66.75,68.38
UPS,1999-12-09,68.38,68.75,66.62,67.5
UPS,1999-12-10,66.38,67.0,65.38,66.12
UPS,1999-12-13,66.38,66.94,64.88,66.0
UPS,1999-12-14,66.0,66.0,64.75,65.0
UPS,1999-12-15,65.0,65.06,63.69,63.75
UPS,1999-12-16,63.75,64.06,63.25,64.0
UPS,1999-12-17,64.75,67.62,64.69,66.62
UPS,1999-12-20,67.69,68.5,66.94,68.5
UPS,1999-12-21,68.25,69.0,67.5,69.0
UPS,1999-12-22,68.94,68.94,66.06,67.0
UPS,1999-12-23,66.5,67.88,65.62,67.75
UPS,1999-12-27,68.5,69.69,67.5,69.69
UPS,1999-12-28,69.5,69.69,68.06,69.0
UPS,1999-12-29,69.0,69.38,67.56,68.0
UPS,1999-12-30,69.25,69.5,68.0,68.0
UPS,1999-12-31,68.88,69.5,68.38,69.0
UPS,2000-01-03,69.69,69.75,67.0,67.06
UPS,2000-01-04,67.0,67.0,64.62,64.94
UPS,2000-01-05,64.88,68.0,64.75,68.0
UPS,2000-01-06,65.88,68.12,65.0,68.0
UPS,2000-01-07,67.62,67.62,65.75,66.38
UPS,2000-01-10,66.88,67.44,66.44,67.06
UPS,2000-01-11,67.12,67.44,65.25,65.25
UPS,2000-01-12,66.12,67.5,65.44,67.38
UPS,2000-01-13,67.62,68.5,67.38,68.31
UPS,2000-01-14,68.88,69.25,68.31,69.06
UPS,2000-01-18,69.0,69.0,67.38,68.69
UPS,2000-01-19,68.5,68.56,67.44,68.25
UPS,2000-01-20,68.12,69.12,68.12,68.88
UPS,2000-01-21,68.88,68.88,66.69,67.25
UPS,2000-01-24,67.88,68.25,66.0,66.0
UPS,2000-01-25,65.62,66.62,64.75,65.88
UPS,2000-01-26,65.25,65.62,64.5,65.12
UPS,2000-01-27,65.31,65.38,64.0,65.12
UPS,2000-01-28,65.12,65.88,64.0,64.94
UPS,2000-01-31,63.0,64.0,59.0,60.0
UPS,2000-02-01,59.69,61.5,58.31,61.38
UPS,2000-02-02,59.75,59.94,57.19,58.25
UPS,2000-02-03,59.25,59.5,57.38,57.62
UPS,2000-02-04,58.19,58.19,56.06,56.38
UPS,2000-02-07,56.62,56.81,55.5,55.75
UPS,2000-02-08,56.25,59.38,55.75,59.38
UPS,2000-02-09,59.5,59.62,58.0,58.0
UPS,2000-02-10,58.06,58.5,56.5,57.06
UPS,2000-02-11,56.81,57.0,55.12,55.12
UPS,2000-02-14,55.31,55.5,54.12,54.38
UPS,2000-02-15,54.44,55.0,53.56,54.94
UPS,2000-02-16,55.19,56.44,54.5,56.0
UPS,2000-02-17,56.5,58.25,56.12,58.0
UPS,2000-02-18,58.0,59.44,55.25,56.94
UPS,2000-02-22,56.94,56.94,54.56,55.0
UPS,2000-02-23,55.06,56.25,54.06,54.94
UPS,2000-02-24,55.0,55.0,53.81,54.06
UPS,2000-02-25,54.94,55.75,54.06,55.5
UPS,2000-02-28,55.56,55.62,54.5,55.0
UPS,2000-02-29,55.0,55.31,54.5,54.62
UPS,2000-03-01,54.62,54.69,51.88,52.5
UPS,2000-03-02,52.12,53.62,52.06,53.31
UPS,2000-03-03,53.31,53.5,52.56,52.69
UPS,2000-03-06,54.38,54.38,52.5,52.75
UPS,2000-03-07,52.75,52.81,49.0,50.62
UPS,2000-03-08,52.75,54.5,51.31,54.31
UPS,2000-03-09,54.5,54.5,52.44,53.0
UPS,2000-03-10,53.75,54.38,53.06,53.44
UPS,2000-03-13,52.25,54.19,52.12,52.75
UPS,2000-03-14,52.5,53.5,52.31,52.56
UPS,2000-03-15,52.94,55.38,51.62,54.94
UPS,2000-03-16,55.88,57.62,55.06,56.25
UPS,2000-03-17,57.06,57.06,55.5,55.5
UPS,2000-03-20,56.5,56.88,55.25,56.56
UPS,2000-03-21,56.31,58.38,55.25,58.19
UPS,2000-03-22,58.19,59.06,56.81,56.88
UPS,2000-03-23,56.81,59.94,56.0,59.62
UPS,2000-03-24,60.0,64.12,59.81,63.75
UPS,2000-03-27,63.0,64.0,62.62,63.19
UPS,2000-03-28,62.5,63.0,60.06,60.25
UPS,2000-03-29,61.25,61.25,58.31,59.06
UPS,2000-03-30,58.81,60.12,58.31,58.56
UPS,2000-03-31,59.56,63.0,58.19,62.98
UPS,2000-04-03,62.0,62.0,59.0,59.38
UPS,2000-04-04,59.38,59.75,55.38,57.81
UPS,2000-04-05,56.81,58.25,56.81,58.19
UPS,2000-04-06,58.31,60.19,58.31,59.88
UPS,2000-04-07,59.88,61.44,59.12,60.88
UPS,2000-04-10,61.12,64.0,61.0,64.0
UPS,2000-04-11,63.31,63.31,62.12,63.19
UPS,2000-04-12,62.81,62.88,61.25,61.5
UPS,2000-04-13,61.5,61.5,59.44,60.25
UPS,2000-04-14,58.5,58.75,55.0,55.0
UPS,2000-04-17,57.0,59.5,55.0,58.0
UPS,2000-04-18,58.0,61.19,58.0,60.69
UPS,2000-04-19,60.19,60.5,58.75,59.06
UPS,2000-04-20,61.0,63.88,60.62,63.5
UPS,2000-04-24,63.0,63.25,62.0,62.62
UPS,2000-04-25,64.31,66.44,63.81,66.44
UPS,2000-04-26,66.5,66.94,64.94,66.19
UPS,2000-04-27,65.5,66.56,65.19,65.94
UPS,2000-04-28,66.69,66.75,65.5,66.5
UPS,2000-05-01,66.62,66.94,64.25,64.25
UPS,2000-05-02,64.06,64.44,63.25,63.81
UPS,2000-05-03,64.06,64.06,62.31,62.38
UPS,2000-05-04,62.12,62.12,60.0,60.94
UPS,2000-05-05,59.75,60.88,59.0,59.88
UPS,2000-05-08,59.0,61.75,58.31,61.06
UPS,2000-05-09,61.5,63.38,60.81,62.5
UPS,2000-05-10,62.0,62.38,60.62,60.81
UPS,2000-05-11,60.88,61.69,60.88,61.25
UPS,2000-05-12,61.5,62.62,61.38,61.56
UPS,2000-05-15,61.56,64.0,60.69,63.31
UPS,2000-05-16,64.0,64.0,61.88,62.0
UPS,2000-05-17,61.75,62.88,61.19,62.31
UPS,2000-05-18,62.25,62.25,61.38,62.12
UPS,2000-05-19,61.88,62.19,60.5,61.88
UPS,2000-05-22,61.62,61.88,59.88,61.44
UPS,2000-05-23,61.19,62.25,61.12,61.88
UPS,2000-05-24,61.0,61.38,59.12,59.62
UPS,2000-05-25,59.44,60.25,58.0,58.88
UPS,2000-05-26,59.0,59.31,56.75,57.19
UPS,2000-05-30,57.0,59.31,57.0,59.06
UPS,2000-05-31,59.94,60.94,59.62,59.88
UPS,2000-06-01,60.81,62.06,60.62,61.5
UPS,2000-06-02,62.19,62.44,60.94,61.0
UPS,2000-06-05,60.88,62.5,60.81,61.56
UPS,2000-06-06,61.56,61.88,60.75,61.75
UPS,2000-06-07,61.75,62.19,61.44,62.06
UPS,2000-06-08,62.0,62.12,60.25,60.25
UPS,2000-06-09,60.25,60.25,59.31,59.31
UPS,2000-06-12,59.0,59.88,57.5,59.34
UPS,2000-06-13,59.5,62.06,59.25,61.31
UPS,2000-06-14,61.19,61.88,60.88,61.25
UPS,2000-06-15,61.5,62.5,61.44,62.38
UPS,2000-06-16,62.44,62.75,61.38,61.75
UPS,2000-06-19,61.75,62.19,60.25,62.12
UPS,2000-06-20,61.88,62.0,60.88,61.44
UPS,2000-06-21,60.94,61.81,60.56,61.75
UPS,2000-06-22,61.56,62.94,61.25,62.94
UPS,2000-06-23,62.81,62.81,61.31,61.44
UPS,2000-06-26,60.75,61.0,60.31,60.75
UPS,2000-06-27,60.75,60.94,59.62,60.12
UPS,2000-06-28,60.19,60.81,59.56,59.62
UPS,2000-06-29,59.62,60.31,58.62,60.25
UPS,2000-06-30,60.31,62.0,58.91,58.91
UPS,2000-07-03,59.5,59.88,59.31,59.44
