ticker,date,open,high,low,close
V,2008-03-18,10.0961,10.0961,10.0961,10.0961
V,2008-03-19,14.88,17.25,13.75,14.12
V,2008-03-20,14.6,16.25,14.38,16.09
V,2008-03-24,16.81,16.92,14.75,14.93
V,2008-03-25,15.15,16.06,14.95,15.81
V,2008-03-26,15.68,16.12,15.39,15.99
V,2008-03-27,16.01,16.18,15.66,15.73
V,2008-03-28,15.84,15.86,15.54,15.69
V,2008-03-31,15.65,15.87,15.51,15.59
V,2008-04-01,15.77,15.92,15.08,15.4
V,2008-04-02,15.43,15.58,15.12,15.58
V,2008-04-03,15.49,16.57,15.45,16.38
V,2008-04-04,16.23,16.33,15.94,16.12
V,2008-04-07,16.27,16.45,16.0,16.26
V,2008-04-08,16.23,17.06,16.2,17.02
V,2008-04-09,17.11,17.18,16.4,16.45
V,2008-04-10,16.54,16.68,16.28,16.53
V,2008-04-11,16.31,16.69,16.31,16.53
V,2008-04-14,16.67,16.81,16.38,16.42
V,2008-04-15,16.57,16.64,16.0,16.09
V,2008-04-16,16.14,16.74,16.14,16.53
V,2008-04-17,16.57,16.94,16.5,16.76
V,2008-04-18,17.0,17.61,16.8,17.25
V,2008-04-21,17.37,18.12,17.21,17.74
V,2008-04-22,17.98,18.1,17.5,17.57
V,2008-04-23,17.74,17.92,17.42,17.52
V,2008-04-24,17.8,18.25,17.51,18.08
V,2008-04-25,19.0,19.02,18.48,18.77
V,2008-04-28,19.12,19.32,18.73,18.91
V,2008-04-29,18.54,20.22,17.75,20.22
V,2008-04-30,20.35,21.2,20.27,20.86
V,2008-05-01,21.1,21.91,20.98,21.35
V,2008-05-02,21.82,21.88,20.25,20.69
V,2008-05-05,20.71,21.38,20.2,21.26
V,2008-05-06,21.37,22.04,21.19,21.88
V,2008-05-07,22.21,22.46,21.92,22.12
V,2008-05-08,22.38,22.44,21.49,21.83
V,2008-05-09,21.45,21.67,20.63,20.72
V,2008-05-12,20.91,21.12,19.52,20.48
V,2008-05-13,20.46,20.88,20.2,20.59
V,2008-05-14,20.83,21.09,20.36,20.56
V,2008-05-15,20.63,20.73,20.28,20.56
V,2008-05-16,20.68,20.71,20.32,20.59
V,2008-05-19,20.57,21.18,20.54,20.83
V,2008-05-20,20.72,20.96,20.48,20.68
V,2008-05-21,20.67,20.86,20.13,20.21
V,2008-05-22,20.14,20.15,19.04,19.33
V,2008-05-23,18.96,19.33,18.78,19.09
V,2008-05-27,19.23,19.74,18.59,19.68
V,2008-05-28,20.07,20.49,19.89,20.48
V,2008-05-29,20.86,21.74,20.75,21.31
V,2008-05-30,21.5,21.89,21.45,21.59
V,2008-06-02,21.55,21.74,21.15,21.52
V,2008-06-03,21.75,21.99,21.51,21.89
V,2008-06-04,21.77,22.02,21.32,21.37
V,2008-06-05,21.61,21.81,21.4,21.81
V,2008-06-06,21.48,21.5,20.89,20.91
V,2008-06-09,21.0,21.24,20.14,20.53
V,2008-06-10,20.08,20.72,19.9,20.08
