ticker,date,open,high,low,close
VZ,1983-11-21,7.94,7.95,7.38,7.9
VZ,1983-11-22,7.9,8.01,7.86,7.87
VZ,1983-11-23,7.87,7.9,7.78,7.83
VZ,1983-11-25,7.83,7.84,7.74,7.74
VZ,1983-11-28,7.7,7.7,7.5,7.53
VZ,1983-11-29,7.52,7.52,7.43,7.45
VZ,1983-11-30,7.45,7.5,7.42,7.45
VZ,1983-12-01,7.45,7.5,7.41,7.45
VZ,1983-12-02,7.45,7.53,7.39,7.43
VZ,1983-12-05,7.43,7.45,7.35,7.35
VZ,1983-12-06,7.35,7.41,7.35,7.38
VZ,1983-12-07,7.38,7.5,7.38,7.45
VZ,1983-12-08,7.45,7.49,7.43,7.46
VZ,1983-12-09,7.46,7.52,7.46,7.48
VZ,1983-12-12,7.48,7.52,7.46,7.49
VZ,1983-12-13,7.5,7.63,7.5,7.6
VZ,1983-12-14,7.6,7.66,7.6,7.63
VZ,1983-12-15,7.63,7.63,7.57,7.57
VZ,1983-12-16,7.57,7.64,7.57,7.62
VZ,1983-12-19,7.62,7.62,7.59,7.59
VZ,1983-12-20,7.59,7.62,7.53,7.55
VZ,1983-12-21,7.55,7.57,7.48,7.5
VZ,1983-12-22,7.49,7.49,7.41,7.41
VZ,1983-12-23,7.41,7.42,7.35,7.36
VZ,1983-12-27,7.35,7.35,7.31,7.32
VZ,1983-12-28,7.32,7.39,7.32,7.38
VZ,1983-12-29,7.38,7.41,7.36,7.36
VZ,1983-12-30,7.36,7.38,7.32,7.34
VZ,1984-01-03,7.38,7.56,7.38,7.55
VZ,1984-01-04,7.59,7.91,7.59,7.77
VZ,1984-01-05,7.83,8.0,7.83,7.84
VZ,1984-01-06,7.81,8.04,7.81,7.98
VZ,1984-01-09,7.98,7.98,7.88,7.88
VZ,1984-01-10,7.88,7.91,7.86,7.91
VZ,1984-01-11,7.91,7.95,7.91,7.93
VZ,1984-01-12,7.93,7.98,7.91,7.98
VZ,1984-01-13,8.02,8.12,8.02,8.04
VZ,1984-01-16,8.09,8.26,8.09,8.11
VZ,1984-01-17,8.14,8.21,8.14,8.18
VZ,1984-01-18,8.18,8.21,8.14,8.21
VZ,1984-01-19,8.21,8.25,8.16,8.21
VZ,1984-01-20,8.21,8.26,8.21,8.26
VZ,1984-01-23,8.26,8.26,8.22,8.22
VZ,1984-01-24,8.22,8.23,8.21,8.21
VZ,1984-01-25,8.21,8.26,8.21,8.22
VZ,1984-01-26,8.22,8.25,8.18,8.18
VZ,1984-01-27,8.18,8.4,8.18,8.29
VZ,1984-01-30,8.29,8.32,8.22,8.26
VZ,1984-01-31,8.26,8.3,8.25,8.3
VZ,1984-02-01,8.3,8.37,8.25,8.33
VZ,1984-02-02,8.33,8.43,8.29,8.4
VZ,1984-02-03,8.4,8.45,8.28,8.28
VZ,1984-02-06,8.26,8.26,8.19,8.23
VZ,1984-02-07,8.22,8.22,8.12,8.22
VZ,1984-02-08,8.19,8.19,7.93,7.93
VZ,1984-02-09,7.93,8.01,7.93,7.94
VZ,1984-02-10,7.91,7.91,7.83,7.9
